team,2001,date
Betis,1,2001-10-03
Barcelona,3,2001-10-03
Mallorca,0,2001-10-03
Las Palmas,3,2001-10-03
Real Madrid,0,2001-10-03
Rayo Vallecano,0,2001-10-03
Osasuna,3,2001-10-03
Sevilla,3,2001-10-03
Tenerife,0,2001-10-03
Valladolid,0,2001-10-03
Espanyol,3,2001-10-03
Villarreal,1,2001-10-03
La Coruna,1,2001-10-03
Zaragoza,3,2001-10-03
Real Sociedad,0,2001-10-03
Celta Vigo,1,2001-10-04
Valencia,1,2001-10-04
La Coruna,3,2001-10-06
Barcelona,0,2001-10-06
Real Madrid,3,2001-10-06
Ath. Bilbao,0,2001-10-06
Betis,3,2001-10-07
Alaves,0,2001-10-07
Malaga,1,2001-10-07
Celta Vigo,1,2001-10-07
Mallorca,0,2001-10-07
Zaragoza,3,2001-10-07
Osasuna,1,2001-10-07
Espanyol,1,2001-10-07
Real Sociedad,1,2001-10-07
Sevilla,1,2001-10-07
Tenerife,3,2001-10-07
Rayo Vallecano,0,2001-10-07
Valencia,3,2001-10-07
Villarreal,0,2001-10-07
Valladolid,3,2001-10-07
Las Palmas,0,2001-10-07
Alaves,1,2001-10-13
Real Madrid,1,2001-10-13
Sevilla,1,2001-10-13
Mallorca,1,2001-10-13
Zaragoza,0,2001-10-13
La Coruna,3,2001-10-13
Ath. Bilbao,0,2001-10-14
Valladolid,3,2001-10-14
Barcelona,1,2001-10-14
Valencia,1,2001-10-14
Celta Vigo,3,2001-10-14
Betis,0,2001-10-14
Las Palmas,3,2001-10-14
Espanyol,0,2001-10-14
Osasuna,0,2001-10-14
Tenerife,3,2001-10-14
Rayo Vallecano,3,2001-10-14
Real Sociedad,0,2001-10-14
Villarreal,0,2001-10-14
Malaga,3,2001-10-14
Betis,1,2001-10-20
Villarreal,1,2001-10-20
La Coruna,3,2001-10-20
Sevilla,0,2001-10-20
Las Palmas,1,2001-10-20
Ath. Bilbao,1,2001-10-20
Malaga,1,2001-10-20
Barcelona,1,2001-10-20
Real Sociedad,3,2001-10-20
Osasuna,0,2001-10-20
Espanyol,3,2001-10-21
Tenerife,0,2001-10-21
Mallorca,3,2001-10-21
Rayo Vallecano,0,2001-10-21
Real Madrid,1,2001-10-21
Celta Vigo,1,2001-10-21
Valencia,3,2001-10-21
Zaragoza,0,2001-10-21
Valladolid,0,2001-10-21
Alaves,3,2001-10-21
Barcelona,3,2001-10-27
Betis,0,2001-10-27
Osasuna,3,2001-10-27
Mallorca,0,2001-10-27
Rayo Vallecano,3,2001-10-27
La Coruna,0,2001-10-27
Tenerife,0,2001-10-27
Real Sociedad,3,2001-10-27
Villarreal,0,2001-10-27
Real Madrid,3,2001-10-27
Alaves,3,2001-10-28
Las Palmas,0,2001-10-28
Ath. Bilbao,1,2001-10-28
Espanyol,1,2001-10-28
Celta Vigo,1,2001-10-28
Valladolid,1,2001-10-28
Sevilla,1,2001-10-28
Valencia,1,2001-10-28
Zaragoza,0,2001-10-28
Malaga,3,2001-10-28
Ath. Bilbao,3,2001-11-03
Alaves,0,2001-11-03
Betis,0,2001-11-04
Zaragoza,3,2001-11-04
Espanyol,0,2001-11-04
Real Sociedad,3,2001-11-04
La Coruna,3,2001-11-04
Osasuna,0,2001-11-04
Las Palmas,3,2001-11-04
Celta Vigo,0,2001-11-04
Malaga,0,2001-11-04
Sevilla,3,2001-11-04
Mallorca,3,2001-11-04
Tenerife,0,2001-11-04
Real Madrid,3,2001-11-04
Barcelona,0,2001-11-04
Valencia,3,2001-11-04
Rayo Vallecano,0,2001-11-04
Valladolid,3,2001-11-04
Villarreal,0,2001-11-04
Sevilla,1,2001-11-10
Betis,1,2001-11-10
Alaves,3,2001-11-11
Espanyol,0,2001-11-11
Barcelona,3,2001-11-11
Valladolid,0,2001-11-11
Celta Vigo,0,2001-11-11
Ath. Bilbao,3,2001-11-11
Osasuna,1,2001-11-11
Valencia,1,2001-11-11
Rayo Vallecano,3,2001-11-11
Malaga,0,2001-11-11
Real Sociedad,0,2001-11-11
Mallorca,3,2001-11-11
Tenerife,3,2001-11-11
La Coruna,0,2001-11-11
Villarreal,3,2001-11-11
Las Palmas,0,2001-11-11
Zaragoza,3,2001-11-11
Real Madrid,0,2001-11-11
La Coruna,3,2001-11-17
Real Sociedad,0,2001-11-17
Las Palmas,1,2001-11-17
Barcelona,1,2001-11-17
Real Madrid,3,2001-11-17
Sevilla,0,2001-11-17
Alaves,3,2001-11-18
Celta Vigo,0,2001-11-18
Ath. Bilbao,1,2001-11-18
Villarreal,1,2001-11-18
Betis,3,2001-11-18
Rayo Vallecano,0,2001-11-18
Espanyol,3,2001-11-18
Mallorca,0,2001-11-18
Malaga,3,2001-11-18
Osasuna,0,2001-11-18
Valencia,1,2001-11-18
Tenerife,1,2001-11-18
Valladolid,3,2001-11-18
Zaragoza,0,2001-11-18
Barcelona,0,2001-11-24
Ath. Bilbao,3,2001-11-24
Celta Vigo,3,2001-11-25
Espanyol,0,2001-11-25
Mallorca,3,2001-11-25
La Coruna,0,2001-11-25
Osasuna,0,2001-11-25
Betis,3,2001-11-25
Rayo Vallecano,0,2001-11-25
Real Madrid,3,2001-11-25
Real Sociedad,3,2001-11-25
Valencia,0,2001-11-25
Sevilla,3,2001-11-25
Valladolid,0,2001-11-25
Tenerife,3,2001-11-25
Malaga,0,2001-11-25
Villarreal,3,2001-11-25
Alaves,0,2001-11-25
Zaragoza,3,2001-11-25
Las Palmas,0,2001-11-25
Alaves,3,2001-12-01
Barcelona,0,2001-12-01
Espanyol,3,2001-12-01
La Coruna,0,2001-12-01
Real Madrid,3,2001-12-01
Osasuna,0,2001-12-01
Valencia,1,2001-12-01
Mallorca,1,2001-12-01
Ath. Bilbao,3,2001-12-02
Zaragoza,0,2001-12-02
Betis,3,2001-12-02
Tenerife,0,2001-12-02
Celta Vigo,3,2001-12-02
Villarreal,0,2001-12-02
Las Palmas,3,2001-12-02
Sevilla,0,2001-12-02
Malaga,3,2001-12-02
Real Sociedad,0,2001-12-02
Valladolid,3,2001-12-02
Rayo Vallecano,0,2001-12-02
Sevilla,1,2001-12-08
Ath. Bilbao,1,2001-12-08
Tenerife,0,2001-12-08
Real Madrid,3,2001-12-08
Barcelona,1,2001-12-09
Celta Vigo,1,2001-12-09
La Coruna,3,2001-12-09
Valencia,0,2001-12-09
Mallorca,1,2001-12-09
Malaga,1,2001-12-09
Osasuna,3,2001-12-09
Valladolid,0,2001-12-09
Rayo Vallecano,1,2001-12-09
Las Palmas,1,2001-12-09
Real Sociedad,1,2001-12-09
Betis,1,2001-12-09
Villarreal,1,2001-12-09
Espanyol,1,2001-12-09
Zaragoza,0,2001-12-09
Alaves,3,2001-12-09
Espanyol,0,2001-12-15
Valencia,3,2001-12-15
Las Palmas,1,2001-12-15
Osasuna,1,2001-12-15
Real Madrid,3,2001-12-15
Real Sociedad,0,2001-12-15
Alaves,0,2001-12-16
Sevilla,3,2001-12-16
Ath. Bilbao,1,2001-12-16
Rayo Vallecano,1,2001-12-16
Betis,3,2001-12-16
Mallorca,0,2001-12-16
Celta Vigo,3,2001-12-16
Zaragoza,0,2001-12-16
Malaga,1,2001-12-16
La Coruna,1,2001-12-16
Valladolid,1,2001-12-16
Tenerife,1,2001-12-16
Villarreal,0,2001-12-16
Barcelona,3,2001-12-16
Espanyol,3,2001-12-22
Barcelona,0,2001-12-22
La Coruna,3,2001-12-22
Betis,0,2001-12-22
Real Sociedad,3,2001-12-22
Valladolid,0,2001-12-22
Sevilla,0,2001-12-22
Celta Vigo,3,2001-12-22
Tenerife,0,2001-12-22
Las Palmas,3,2001-12-22
Valencia,3,2001-12-22
Malaga,0,2001-12-22
Mallorca,1,2001-12-23
Real Madrid,1,2001-12-23
Osasuna,0,2001-12-23
Ath. Bilbao,3,2001-12-23
Zaragoza,3,2001-12-23
Villarreal,0,2001-12-23
Real Madrid,3,2002-01-05
La Coruna,0,2002-01-05
Las Palmas,1,2002-01-05
Real Sociedad,1,2002-01-05
Celta Vigo,1,2002-01-05
Rayo Vallecano,1,2002-01-05
Villarreal,0,2002-01-05
Sevilla,3,2002-01-05
Barcelona,3,2002-01-06
Zaragoza,0,2002-01-06
Alaves,0,2002-01-06
Osasuna,3,2002-01-06
Ath. Bilbao,0,2002-01-06
Tenerife,3,2002-01-06
Betis,0,2002-01-06
Valencia,3,2002-01-06
Malaga,3,2002-01-06
Espanyol,0,2002-01-06
Valladolid,3,2002-01-06
Mallorca,0,2002-01-06
Ath. Bilbao,3,2002-01-12
Real Sociedad,0,2002-01-12
Villarreal,1,2002-01-12
Rayo Vallecano,1,2002-01-12
Real Madrid,3,2002-01-13
Valencia,0,2002-01-13
Las Palmas,3,2002-01-13
Mallorca,0,2002-01-13
Alaves,3,2002-01-13
Tenerife,0,2002-01-13
Barcelona,3,2002-01-13
Sevilla,0,2002-01-13
Betis,1,2002-01-13
Malaga,1,2002-01-13
Celta Vigo,1,2002-01-13
Osasuna,1,2002-01-13
Valladolid,3,2002-01-13
La Coruna,0,2002-01-13
Zaragoza,1,2002-01-13
Espanyol,1,2002-01-13
Malaga,1,2002-01-19
Real Madrid,1,2002-01-19
Real Sociedad,0,2002-01-19
Alaves,3,2002-01-19
La Coruna,3,2002-01-20
Las Palmas,0,2002-01-20
Tenerife,1,2002-01-20
Celta Vigo,1,2002-01-20
Espanyol,1,2002-01-20
Betis,1,2002-01-20
Mallorca,3,2002-01-20
Ath. Bilbao,0,2002-01-20
Osasuna,1,2002-01-20
Villarreal,1,2002-01-20
Rayo Vallecano,3,2002-01-20
Barcelona,0,2002-01-20
Sevilla,3,2002-01-20
Zaragoza,0,2002-01-20
Valencia,0,2002-01-20
Valladolid,3,2002-01-20
Rayo Vallecano,3,2002-01-23
Alaves,0,2002-01-23
Celta Vigo,3,2002-01-26
Real Sociedad,0,2002-01-26
Las Palmas,0,2002-01-26
Valencia,3,2002-01-26
Real Madrid,1,2002-01-27
Betis,1,2002-01-27
Alaves,0,2002-01-27
Mallorca,3,2002-01-27
Ath. Bilbao,1,2002-01-27
La Coruna,1,2002-01-27
Barcelona,0,2002-01-27
Osasuna,3,2002-01-27
Sevilla,3,2002-01-27
Espanyol,0,2002-01-27
Valladolid,1,2002-01-27
Malaga,1,2002-01-27
Villarreal,3,2002-01-27
Tenerife,0,2002-01-27
Zaragoza,3,2002-01-27
Rayo Vallecano,0,2002-01-27
Tenerife,0,2002-02-02
Barcelona,3,2002-02-02
Rayo Vallecano,3,2002-02-02
Sevilla,0,2002-02-02
La Coruna,0,2002-02-02
Alaves,3,2002-02-02
Mallorca,0,2002-02-02
Celta Vigo,3,2002-02-02
Real Sociedad,3,2002-02-02
Villarreal,0,2002-02-02
Valencia,3,2002-02-03
Ath. Bilbao,0,2002-02-03
Betis,3,2002-02-03
Valladolid,0,2002-02-03
Espanyol,3,2002-02-03
Real Madrid,0,2002-02-03
Malaga,1,2002-02-03
Las Palmas,1,2002-02-03
Osasuna,1,2002-02-03
Zaragoza,1,2002-02-03
Celta Vigo,0,2002-02-05
La Coruna,3,2002-02-05
Las Palmas,1,2002-02-06
Betis,1,2002-02-06
Barcelona,3,2002-02-06
Real Sociedad,0,2002-02-06
Rayo Vallecano,1,2002-02-06
Espanyol,1,2002-02-06
Sevilla,1,2002-02-06
Osasuna,1,2002-02-06
Valladolid,3,2002-02-06
Real Madrid,0,2002-02-06
Villarreal,3,2002-02-06
Mallorca,0,2002-02-06
Zaragoza,1,2002-02-06
Tenerife,1,2002-02-06
Alaves,0,2002-02-06
Valencia,3,2002-02-06
Ath. Bilbao,3,2002-02-06
Malaga,0,2002-02-06
Valencia,1,2002-02-09
Celta Vigo,1,2002-02-09
Mallorca,1,2002-02-09
Barcelona,1,2002-02-09
Betis,1,2002-02-10
Ath. Bilbao,1,2002-02-10
Tenerife,1,2002-02-10
Sevilla,1,2002-02-10
Espanyol,3,2002-02-10
Valladolid,0,2002-02-10
La Coruna,1,2002-02-10
Villarreal,1,2002-02-10
Malaga,3,2002-02-10
Alaves,0,2002-02-10
Osasuna,3,2002-02-10
Rayo Vallecano,0,2002-02-10
Real Madrid,3,2002-02-10
Las Palmas,0,2002-02-10
Real Sociedad,3,2002-02-10
Zaragoza,0,2002-02-10
Barcelona,3,2002-02-16
La Coruna,0,2002-02-16
Ath. Bilbao,3,2002-02-16
Real Madrid,0,2002-02-16
Villarreal,1,2002-02-16
Valencia,1,2002-02-16
Celta Vigo,1,2002-02-17
Malaga,1,2002-02-17
Las Palmas,1,2002-02-17
Valladolid,1,2002-02-17
Alaves,0,2002-02-17
Betis,3,2002-02-17
Osasuna,1,2002-02-17
Espanyol,1,2002-02-17
Rayo Vallecano,3,2002-02-17
Tenerife,0,2002-02-17
Sevilla,0,2002-02-17
Real Sociedad,3,2002-02-17
Zaragoza,3,2002-02-17
Mallorca,0,2002-02-17
Valencia,3,2002-02-23
Barcelona,0,2002-02-23
La Coruna,3,2002-02-23
Zaragoza,0,2002-02-23
Real Madrid,3,2002-02-23
Alaves,0,2002-02-23
Betis,3,2002-02-24
Celta Vigo,0,2002-02-24
Tenerife,3,2002-02-24
Osasuna,0,2002-02-24
Espanyol,3,2002-02-24
Las Palmas,0,2002-02-24
Malaga,3,2002-02-24
Villarreal,0,2002-02-24
Mallorca,0,2002-02-24
Sevilla,3,2002-02-24
Real Sociedad,1,2002-02-24
Rayo Vallecano,1,2002-02-24
Valladolid,3,2002-02-24
Ath. Bilbao,0,2002-02-24
Villarreal,1,2002-03-02
Betis,1,2002-03-02
Celta Vigo,0,2002-03-02
Real Madrid,3,2002-03-02
Sevilla,0,2002-03-02
La Coruna,3,2002-03-02
Ath. Bilbao,3,2002-03-03
Las Palmas,0,2002-03-03
Tenerife,1,2002-03-03
Espanyol,1,2002-03-03
Alaves,3,2002-03-03
Valladolid,0,2002-03-03
Barcelona,3,2002-03-03
Malaga,0,2002-03-03
Osasuna,1,2002-03-03
Real Sociedad,1,2002-03-03
Rayo Vallecano,0,2002-03-03
Mallorca,3,2002-03-03
Zaragoza,0,2002-03-03
Valencia,3,2002-03-03
Las Palmas,3,2002-03-09
Alaves,0,2002-03-09
Betis,3,2002-03-09
Barcelona,0,2002-03-09
Real Madrid,3,2002-03-09
Villarreal,0,2002-03-09
La Coruna,1,2002-03-09
Rayo Vallecano,1,2002-03-09
Real Sociedad,0,2002-03-10
Tenerife,3,2002-03-10
Espanyol,3,2002-03-10
Ath. Bilbao,0,2002-03-10
Malaga,3,2002-03-10
Zaragoza,0,2002-03-10
Mallorca,3,2002-03-10
Osasuna,0,2002-03-10
Valencia,3,2002-03-10
Sevilla,0,2002-03-10
Valladolid,0,2002-03-10
Celta Vigo,3,2002-03-10
Barcelona,1,2002-03-16
Real Madrid,1,2002-03-16
Osasuna,0,2002-03-16
La Coruna,3,2002-03-16
Rayo Vallecano,3,2002-03-17
Valencia,0,2002-03-17
Tenerife,1,2002-03-17
Mallorca,1,2002-03-17
Alaves,0,2002-03-17
Ath. Bilbao,3,2002-03-17
Celta Vigo,3,2002-03-17
Las Palmas,0,2002-03-17
Real Sociedad,3,2002-03-17
Espanyol,0,2002-03-17
Sevilla,0,2002-03-17
Malaga,3,2002-03-17
Villarreal,1,2002-03-17
Valladolid,1,2002-03-17
Zaragoza,1,2002-03-17
Betis,1,2002-03-17
Betis,1,2002-03-23
Sevilla,1,2002-03-23
Las Palmas,3,2002-03-23
Villarreal,0,2002-03-23
Malaga,1,2002-03-23
Rayo Vallecano,1,2002-03-23
Valladolid,0,2002-03-24
Barcelona,3,2002-03-24
Ath. Bilbao,0,2002-03-24
Celta Vigo,3,2002-03-24
Espanyol,0,2002-03-24
Alaves,3,2002-03-24
La Coruna,3,2002-03-24
Tenerife,0,2002-03-24
Mallorca,0,2002-03-24
Real Sociedad,3,2002-03-24
Real Madrid,3,2002-03-24
Zaragoza,0,2002-03-24
Valencia,3,2002-03-24
Osasuna,0,2002-03-24
Tenerife,0,2002-03-30
Valencia,3,2002-03-30
Barcelona,1,2002-03-30
Las Palmas,1,2002-03-30
Real Sociedad,1,2002-03-30
La Coruna,1,2002-03-30
Sevilla,0,2002-03-30
Real Madrid,3,2002-03-30
Celta Vigo,3,2002-03-30
Alaves,0,2002-03-30
Rayo Vallecano,1,2002-03-31
Betis,1,2002-03-31
Villarreal,3,2002-03-31
Ath. Bilbao,0,2002-03-31
Zaragoza,1,2002-03-31
Valladolid,1,2002-03-31
Mallorca,3,2002-03-31
Espanyol,0,2002-03-31
Osasuna,0,2002-03-31
Malaga,3,2002-03-31
Las Palmas,1,2002-04-06
Zaragoza,1,2002-04-06
Ath. Bilbao,0,2002-04-06
Barcelona,3,2002-04-06
La Coruna,3,2002-04-06
Mallorca,0,2002-04-06
Real Madrid,3,2002-04-06
Rayo Vallecano,0,2002-04-06
Betis,1,2002-04-07
Osasuna,1,2002-04-07
Valencia,3,2002-04-07
Real Sociedad,0,2002-04-07
Alaves,3,2002-04-07
Villarreal,0,2002-04-07
Espanyol,3,2002-04-07
Celta Vigo,0,2002-04-07
Malaga,3,2002-04-07
Tenerife,0,2002-04-07
Valladolid,1,2002-04-07
Sevilla,1,2002-04-07
Mallorca,1,2002-04-13
Valencia,1,2002-04-13
Osasuna,3,2002-04-14
Real Madrid,0,2002-04-14
Tenerife,3,2002-04-14
Betis,0,2002-04-14
Zaragoza,1,2002-04-14
Ath. Bilbao,1,2002-04-14
Barcelona,3,2002-04-14
Alaves,0,2002-04-14
La Coruna,3,2002-04-14
Espanyol,0,2002-04-14
Rayo Vallecano,3,2002-04-14
Valladolid,0,2002-04-14
Real Sociedad,3,2002-04-14
Malaga,0,2002-04-14
Sevilla,1,2002-04-14
Las Palmas,1,2002-04-14
Villarreal,3,2002-04-14
Celta Vigo,0,2002-04-14
Celta Vigo,3,2002-04-20
Barcelona,0,2002-04-20
Las Palmas,0,2002-04-20
Rayo Vallecano,3,2002-04-20
Real Madrid,3,2002-04-20
Tenerife,0,2002-04-20
Valencia,3,2002-04-21
La Coruna,0,2002-04-21
Alaves,3,2002-04-21
Zaragoza,0,2002-04-21
Ath. Bilbao,0,2002-04-21
Sevilla,3,2002-04-21
Betis,3,2002-04-21
Real Sociedad,0,2002-04-21
Espanyol,3,2002-04-21
Villarreal,0,2002-04-21
Malaga,1,2002-04-21
Mallorca,1,2002-04-21
Valladolid,3,2002-04-21
Osasuna,0,2002-04-21
Real Sociedad,3,2002-04-27
Real Madrid,0,2002-04-27
Valencia,3,2002-04-27
Espanyol,0,2002-04-27
Barcelona,3,2002-04-27
Villarreal,0,2002-04-27
La Coruna,1,2002-04-28
Malaga,1,2002-04-28
Mallorca,0,2002-04-28
Betis,3,2002-04-28
Osasuna,3,2002-04-28
Las Palmas,0,2002-04-28
Tenerife,0,2002-04-28
Valladolid,3,2002-04-28
Rayo Vallecano,3,2002-04-28
Ath. Bilbao,0,2002-04-28
Sevilla,3,2002-04-28
Alaves,0,2002-04-28
Zaragoza,0,2002-04-28
Celta Vigo,3,2002-04-28
Alaves,0,2002-05-05
Rayo Vallecano,3,2002-05-05
Ath. Bilbao,1,2002-05-05
Osasuna,1,2002-05-05
Barcelona,3,2002-05-05
Espanyol,0,2002-05-05
Betis,0,2002-05-05
La Coruna,3,2002-05-05
Celta Vigo,0,2002-05-05
Sevilla,3,2002-05-05
Las Palmas,0,2002-05-05
Tenerife,3,2002-05-05
Malaga,0,2002-05-05
Valencia,3,2002-05-05
Real Madrid,1,2002-05-05
Mallorca,1,2002-05-05
Valladolid,0,2002-05-05
Real Sociedad,3,2002-05-05
Villarreal,3,2002-05-05
Zaragoza,0,2002-05-05
La Coruna,3,2002-05-10
Real Madrid,0,2002-05-10
Espanyol,0,2002-05-11
Malaga,3,2002-05-11
Mallorca,3,2002-05-11
Valladolid,0,2002-05-11
Osasuna,0,2002-05-11
Alaves,3,2002-05-11
Rayo Vallecano,3,2002-05-11
Celta Vigo,0,2002-05-11
Real Sociedad,1,2002-05-11
Las Palmas,1,2002-05-11
Sevilla,3,2002-05-11
Villarreal,0,2002-05-11
Tenerife,0,2002-05-11
Ath. Bilbao,3,2002-05-11
Valencia,3,2002-05-11
Betis,0,2002-05-11
Zaragoza,1,2002-05-11
Barcelona,1,2002-05-11
