team,2004,date
Mallorca,3,2005-02-13
Albacete,0,2005-02-13
Numancia,0,2005-02-13
Malaga,3,2005-02-13
Racing Santander,0,2005-02-13
Real Sociedad,3,2005-02-13
Sevilla,3,2005-02-13
Villarreal,0,2005-02-13
Real Sociedad,3,2005-02-19
Sevilla,0,2005-02-19
Barcelona,3,2005-02-19
Mallorca,0,2005-02-19
Real Madrid,0,2005-02-19
Ath. Bilbao,3,2005-02-19
Villarreal,3,2005-02-20
Atl. Madrid,0,2005-02-20
Albacete,0,2005-02-20
Numancia,3,2005-02-20
Betis,3,2005-02-20
La Coruna,0,2005-02-20
Getafe,1,2005-02-20
Osasuna,1,2005-02-20
Levante,1,2005-02-20
Zaragoza,1,2005-02-20
Malaga,3,2005-02-20
Espanyol,0,2005-02-20
Racing Santander,3,2005-02-20
Valencia,0,2005-02-20
La Coruna,3,2005-02-26
Real Madrid,0,2005-02-26
Numancia,1,2005-02-26
Barcelona,1,2005-02-26
Espanyol,3,2005-02-26
Albacete,0,2005-02-26
Mallorca,0,2005-02-26
Levante,3,2005-02-26
Valencia,3,2005-02-27
Betis,0,2005-02-27
Atl. Madrid,3,2005-02-27
Real Sociedad,0,2005-02-27
Osasuna,0,2005-02-27
Malaga,3,2005-02-27
Sevilla,1,2005-02-27
Racing Santander,1,2005-02-27
Zaragoza,3,2005-02-27
Villarreal,0,2005-02-27
Barcelona,1,2005-03-01
Espanyol,1,2005-03-01
Real Madrid,3,2005-03-02
Betis,0,2005-03-02
Albacete,1,2005-03-02
Osasuna,1,2005-03-02
Getafe,1,2005-03-02
La Coruna,1,2005-03-02
Levante,1,2005-03-02
Numancia,1,2005-03-02
Malaga,3,2005-03-02
Ath. Bilbao,0,2005-03-02
Racing Santander,3,2005-03-02
Atl. Madrid,0,2005-03-02
Real Sociedad,3,2005-03-02
Zaragoza,0,2005-03-02
Sevilla,1,2005-03-02
Valencia,1,2005-03-02
Villarreal,3,2005-03-02
Mallorca,0,2005-03-02
Atl. Madrid,3,2005-03-05
Sevilla,0,2005-03-05
Valencia,1,2005-03-05
Real Madrid,1,2005-03-05
Osasuna,0,2005-03-05
Barcelona,3,2005-03-05
La Coruna,3,2005-03-06
Malaga,0,2005-03-06
Ath. Bilbao,3,2005-03-06
Albacete,0,2005-03-06
Betis,1,2005-03-06
Getafe,1,2005-03-06
Espanyol,3,2005-03-06
Levante,0,2005-03-06
Mallorca,3,2005-03-06
Real Sociedad,0,2005-03-06
Numancia,1,2005-03-06
Villarreal,1,2005-03-06
Zaragoza,3,2005-03-06
Racing Santander,0,2005-03-06
Malaga,0,2005-03-12
Betis,3,2005-03-12
Barcelona,3,2005-03-12
Ath. Bilbao,0,2005-03-12
Atl. Madrid,3,2005-03-13
Valencia,0,2005-03-13
Getafe,3,2005-03-13
Real Madrid,0,2005-03-13
Albacete,0,2005-03-13
La Coruna,3,2005-03-13
Levante,3,2005-03-13
Osasuna,0,2005-03-13
Racing Santander,3,2005-03-13
Mallorca,0,2005-03-13
Real Sociedad,3,2005-03-13
Numancia,0,2005-03-13
Sevilla,0,2005-03-13
Zaragoza,3,2005-03-13
Villarreal,3,2005-03-13
Espanyol,0,2005-03-13
Ath. Bilbao,0,2005-03-16
Getafe,3,2005-03-16
La Coruna,0,2005-03-19
Barcelona,3,2005-03-19
Espanyol,1,2005-03-19
Real Sociedad,1,2005-03-19
Betis,3,2005-03-19
Albacete,0,2005-03-19
Zaragoza,1,2005-03-20
Atl. Madrid,1,2005-03-20
Real Madrid,3,2005-03-20
Malaga,0,2005-03-20
Ath. Bilbao,3,2005-03-20
Levante,0,2005-03-20
Mallorca,0,2005-03-20
Sevilla,3,2005-03-20
Numancia,0,2005-03-20
Racing Santander,3,2005-03-20
Valencia,3,2005-03-20
Getafe,0,2005-03-20
Villarreal,3,2005-04-02
Ath. Bilbao,0,2005-04-02
Zaragoza,1,2005-04-02
Valencia,1,2005-04-02
Real Sociedad,3,2005-04-02
Osasuna,0,2005-04-02
Albacete,0,2005-04-03
Real Madrid,3,2005-04-03
Atl. Madrid,3,2005-04-03
Mallorca,0,2005-04-03
Barcelona,1,2005-04-03
Betis,1,2005-04-03
Levante,0,2005-04-03
La Coruna,3,2005-04-03
Malaga,1,2005-04-03
Getafe,1,2005-04-03
Racing Santander,0,2005-04-03
Espanyol,3,2005-04-03
Sevilla,3,2005-04-03
Numancia,0,2005-04-03
Ath. Bilbao,3,2005-04-09
Real Sociedad,0,2005-04-09
Numancia,3,2005-04-09
Atl. Madrid,0,2005-04-09
La Coruna,1,2005-04-10
Villarreal,1,2005-04-10
Real Madrid,3,2005-04-10
Barcelona,0,2005-04-10
Betis,1,2005-04-10
Levante,1,2005-04-10
Espanyol,0,2005-04-10
Sevilla,3,2005-04-10
Getafe,3,2005-04-10
Albacete,0,2005-04-10
Mallorca,0,2005-04-10
Zaragoza,3,2005-04-10
Osasuna,3,2005-04-10
Racing Santander,0,2005-04-10
Valencia,1,2005-04-10
Malaga,1,2005-04-10
Real Sociedad,3,2005-04-16
La Coruna,0,2005-04-16
Atl. Madrid,1,2005-04-16
Espanyol,1,2005-04-16
Sevilla,0,2005-04-16
Osasuna,3,2005-04-16
Barcelona,3,2005-04-17
Getafe,0,2005-04-17
Levante,0,2005-04-17
Real Madrid,3,2005-04-17
Albacete,0,2005-04-17
Malaga,3,2005-04-17
Mallorca,1,2005-04-17
Valencia,1,2005-04-17
Racing Santander,0,2005-04-17
Ath. Bilbao,3,2005-04-17
Villarreal,1,2005-04-17
Betis,1,2005-04-17
Zaragoza,3,2005-04-17
Numancia,0,2005-04-17
Real Madrid,3,2005-04-23
Villarreal,0,2005-04-23
Osasuna,3,2005-04-23
Atl. Madrid,0,2005-04-23
Ath. Bilbao,0,2005-04-24
Sevilla,3,2005-04-24
Malaga,0,2005-04-24
Barcelona,3,2005-04-24
Betis,0,2005-04-24
Real Sociedad,3,2005-04-24
Espanyol,3,2005-04-24
Zaragoza,0,2005-04-24
Getafe,3,2005-04-24
Levante,0,2005-04-24
La Coruna,0,2005-04-24
Racing Santander,3,2005-04-24
Numancia,0,2005-04-24
Mallorca,3,2005-04-24
Valencia,3,2005-04-24
Albacete,0,2005-04-24
Osasuna,3,2005-04-28
Villarreal,0,2005-04-28
Real Sociedad,0,2005-04-30
Real Madrid,3,2005-04-30
Atl. Madrid,1,2005-04-30
Ath. Bilbao,1,2005-04-30
Numancia,1,2005-04-30
Valencia,1,2005-04-30
Sevilla,3,2005-05-01
La Coruna,0,2005-05-01
Barcelona,3,2005-05-01
Albacete,0,2005-05-01
Levante,0,2005-05-01
Malaga,3,2005-05-01
Mallorca,3,2005-05-01
Espanyol,0,2005-05-01
Racing Santander,1,2005-05-01
Betis,1,2005-05-01
Villarreal,3,2005-05-01
Getafe,0,2005-05-01
Zaragoza,3,2005-05-01
Osasuna,0,2005-05-01
Betis,3,2005-05-07
Sevilla,0,2005-05-07
Real Madrid,3,2005-05-07
Racing Santander,0,2005-05-07
Ath. Bilbao,3,2005-05-07
Zaragoza,0,2005-05-07
Osasuna,1,2005-05-07
Mallorca,1,2005-05-07
La Coruna,3,2005-05-08
Atl. Madrid,0,2005-05-08
Valencia,0,2005-05-08
Barcelona,3,2005-05-08
Albacete,3,2005-05-08
Levante,0,2005-05-08
Espanyol,3,2005-05-08
Numancia,0,2005-05-08
Getafe,3,2005-05-08
Real Sociedad,0,2005-05-08
Malaga,0,2005-05-08
Villarreal,3,2005-05-08
Levante,1,2005-05-14
Barcelona,1,2005-05-14
Sevilla,1,2005-05-14
Real Madrid,1,2005-05-14
Espanyol,1,2005-05-15
Valencia,1,2005-05-15
Atl. Madrid,0,2005-05-15
Betis,3,2005-05-15
Mallorca,3,2005-05-15
Ath. Bilbao,0,2005-05-15
Numancia,1,2005-05-15
Osasuna,1,2005-05-15
Racing Santander,3,2005-05-15
Getafe,0,2005-05-15
Real Sociedad,0,2005-05-15
Malaga,3,2005-05-15
Villarreal,3,2005-05-15
Albacete,0,2005-05-15
Zaragoza,1,2005-05-15
La Coruna,1,2005-05-15
Real Madrid,1,2005-05-21
Atl. Madrid,1,2005-05-21
Betis,3,2005-05-21
Zaragoza,0,2005-05-21
Barcelona,1,2005-05-22
Villarreal,1,2005-05-22
Malaga,3,2005-05-22
Racing Santander,0,2005-05-22
Albacete,1,2005-05-22
Real Sociedad,1,2005-05-22
Ath. Bilbao,0,2005-05-22
Numancia,3,2005-05-22
Getafe,1,2005-05-22
Sevilla,1,2005-05-22
La Coruna,0,2005-05-22
Mallorca,3,2005-05-22
Levante,1,2005-05-22
Valencia,1,2005-05-22
Osasuna,1,2005-05-22
Espanyol,1,2005-05-22
Zaragoza,0,2005-05-28
Real Madrid,3,2005-05-28
Real Sociedad,1,2005-05-28
Barcelona,1,2005-05-28
Atl. Madrid,1,2005-05-29
Getafe,1,2005-05-29
Espanyol,3,2005-05-29
Ath. Bilbao,0,2005-05-29
Mallorca,1,2005-05-29
Betis,1,2005-05-29
Numancia,1,2005-05-29
La Coruna,1,2005-05-29
Sevilla,0,2005-05-29
Malaga,3,2005-05-29
Valencia,3,2005-05-29
Osasuna,0,2005-05-29
Villarreal,3,2005-05-29
Levante,0,2005-05-29
Racing Santander,3,2005-05-29
Albacete,0,2005-05-29
