team,2002,date
Barcelona,3,2002-10-26
Alaves,0,2002-10-26
Rayo Vallecano,0,2002-10-26
La Coruna,3,2002-10-26
Valencia,3,2002-10-26
Ath. Bilbao,0,2002-10-26
Real Madrid,1,2002-10-26
Villarreal,1,2002-10-26
Rec. Huelva,1,2002-10-26
Betis,1,2002-10-26
Real Sociedad,3,2002-10-27
Racing Santander,0,2002-10-27
Malaga,0,2002-10-27
Espanyol,3,2002-10-27
Mallorca,3,2002-10-27
Osasuna,0,2002-10-27
Sevilla,3,2002-10-27
Valladolid,0,2002-10-27
La Coruna,1,2002-11-02
Real Madrid,1,2002-11-02
Atl. Madrid,3,2002-11-02
Rayo Vallecano,0,2002-11-02
Valladolid,0,2002-11-02
Mallorca,3,2002-11-02
Racing Santander,1,2002-11-03
Barcelona,1,2002-11-03
Alaves,3,2002-11-03
Sevilla,0,2002-11-03
Ath. Bilbao,3,2002-11-03
Celta Vigo,0,2002-11-03
Betis,3,2002-11-03
Malaga,0,2002-11-03
Espanyol,0,2002-11-03
Valencia,3,2002-11-03
Osasuna,0,2002-11-03
Rec. Huelva,3,2002-11-03
Villarreal,0,2002-11-03
Real Sociedad,3,2002-11-03
Valencia,1,2002-11-09
Betis,1,2002-11-09
Barcelona,3,2002-11-09
Villarreal,0,2002-11-09
Rayo Vallecano,0,2002-11-09
Real Madrid,3,2002-11-09
Real Sociedad,1,2002-11-09
La Coruna,1,2002-11-09
Malaga,3,2002-11-09
Osasuna,0,2002-11-09
Atl. Madrid,1,2002-11-10
Ath. Bilbao,1,2002-11-10
Celta Vigo,3,2002-11-10
Espanyol,0,2002-11-10
Mallorca,3,2002-11-10
Alaves,0,2002-11-10
Rec. Huelva,0,2002-11-10
Valladolid,3,2002-11-10
Sevilla,3,2002-11-10
Racing Santander,0,2002-11-10
La Coruna,3,2002-11-16
Barcelona,0,2002-11-16
Villarreal,3,2002-11-16
Sevilla,0,2002-11-16
Betis,3,2002-11-17
Celta Vigo,0,2002-11-17
Real Madrid,1,2002-11-17
Real Sociedad,1,2002-11-17
Alaves,3,2002-11-17
Rec. Huelva,0,2002-11-17
Ath. Bilbao,3,2002-11-17
Rayo Vallecano,0,2002-11-17
Espanyol,0,2002-11-17
Atl. Madrid,3,2002-11-17
Osasuna,3,2002-11-17
Valencia,0,2002-11-17
Racing Santander,0,2002-11-17
Mallorca,3,2002-11-17
Valladolid,1,2002-11-17
Malaga,1,2002-11-17
Barcelona,1,2002-11-23
Real Madrid,1,2002-11-23
Rayo Vallecano,1,2002-11-23
Real Sociedad,1,2002-11-23
Sevilla,1,2002-11-23
La Coruna,1,2002-11-23
Atl. Madrid,3,2002-11-24
Betis,0,2002-11-24
Ath. Bilbao,3,2002-11-24
Espanyol,0,2002-11-24
Celta Vigo,1,2002-11-24
Osasuna,1,2002-11-24
Malaga,1,2002-11-24
Alaves,1,2002-11-24
Mallorca,1,2002-11-24
Villarreal,1,2002-11-24
Rec. Huelva,3,2002-11-24
Racing Santander,0,2002-11-24
Valencia,3,2002-11-24
Valladolid,0,2002-11-24
Osasuna,3,2002-11-30
Atl. Madrid,0,2002-11-30
La Coruna,1,2002-12-01
Mallorca,1,2002-12-01
Real Sociedad,3,2002-12-01
Barcelona,0,2002-12-01
Alaves,1,2002-12-01
Valencia,1,2002-12-01
Betis,3,2002-12-01
Ath. Bilbao,0,2002-12-01
Espanyol,3,2002-12-01
Rayo Vallecano,0,2002-12-01
Racing Santander,3,2002-12-01
Malaga,0,2002-12-01
Valladolid,0,2002-12-01
Celta Vigo,3,2002-12-01
Villarreal,3,2002-12-01
Rec. Huelva,0,2002-12-01
Sevilla,0,2002-12-07
Real Sociedad,3,2002-12-07
Valencia,3,2002-12-07
Racing Santander,0,2002-12-07
Rayo Vallecano,3,2002-12-07
Barcelona,0,2002-12-07
Malaga,1,2002-12-07
Villarreal,1,2002-12-07
Rec. Huelva,1,2002-12-07
La Coruna,1,2002-12-07
Atl. Madrid,3,2002-12-08
Valladolid,0,2002-12-08
Mallorca,0,2002-12-08
Real Madrid,3,2002-12-08
Ath. Bilbao,0,2002-12-08
Osasuna,3,2002-12-08
Celta Vigo,3,2002-12-08
Alaves,0,2002-12-08
Espanyol,0,2002-12-08
Betis,3,2002-12-08
Villarreal,0,2002-12-14
Valencia,3,2002-12-14
Alaves,3,2002-12-14
Atl. Madrid,0,2002-12-14
Barcelona,0,2002-12-15
Sevilla,3,2002-12-15
Real Madrid,3,2002-12-15
Rec. Huelva,0,2002-12-15
Betis,0,2002-12-15
Rayo Vallecano,3,2002-12-15
La Coruna,3,2002-12-15
Malaga,0,2002-12-15
Osasuna,3,2002-12-15
Espanyol,0,2002-12-15
Racing Santander,3,2002-12-15
Celta Vigo,0,2002-12-15
Real Sociedad,3,2002-12-15
Mallorca,0,2002-12-15
Valladolid,3,2002-12-15
Ath. Bilbao,0,2002-12-15
Mallorca,0,2002-12-21
Barcelona,3,2002-12-21
Rayo Vallecano,0,2002-12-21
Sevilla,3,2002-12-21
Ath. Bilbao,3,2002-12-21
Alaves,0,2002-12-21
Atl. Madrid,0,2002-12-21
Racing Santander,3,2002-12-21
Malaga,0,2002-12-21
Real Madrid,3,2002-12-21
Celta Vigo,3,2002-12-21
Villarreal,0,2002-12-21
Valencia,0,2002-12-22
La Coruna,3,2002-12-22
Betis,3,2002-12-22
Osasuna,0,2002-12-22
Espanyol,3,2002-12-22
Valladolid,0,2002-12-22
Rec. Huelva,0,2002-12-22
Real Sociedad,3,2002-12-22
Real Madrid,3,2003-01-02
Sevilla,0,2003-01-02
La Coruna,3,2003-01-04
Celta Vigo,0,2003-01-04
Racing Santander,0,2003-01-04
Ath. Bilbao,3,2003-01-04
Osasuna,0,2003-01-04
Rayo Vallecano,3,2003-01-04
Valladolid,3,2003-01-04
Betis,0,2003-01-04
Real Madrid,3,2003-01-05
Valencia,0,2003-01-05
Alaves,3,2003-01-05
Espanyol,0,2003-01-05
Barcelona,3,2003-01-05
Rec. Huelva,0,2003-01-05
Real Sociedad,1,2003-01-05
Malaga,1,2003-01-05
Villarreal,3,2003-01-05
Atl. Madrid,0,2003-01-05
Sevilla,3,2003-01-05
Mallorca,0,2003-01-05
Valencia,1,2003-01-11
Real Sociedad,1,2003-01-11
Celta Vigo,0,2003-01-11
Real Madrid,3,2003-01-11
Malaga,1,2003-01-12
Barcelona,1,2003-01-12
Atl. Madrid,3,2003-01-12
La Coruna,0,2003-01-12
Ath. Bilbao,0,2003-01-12
Villarreal,3,2003-01-12
Betis,1,2003-01-12
Alaves,1,2003-01-12
Espanyol,3,2003-01-12
Racing Santander,0,2003-01-12
Osasuna,1,2003-01-12
Valladolid,1,2003-01-12
Rayo Vallecano,0,2003-01-12
Mallorca,3,2003-01-12
Rec. Huelva,1,2003-01-12
Sevilla,1,2003-01-12
Barcelona,0,2003-01-18
Valencia,3,2003-01-18
Real Sociedad,3,2003-01-18
Celta Vigo,0,2003-01-18
Real Madrid,1,2003-01-19
Atl. Madrid,1,2003-01-19
Alaves,1,2003-01-19
Osasuna,1,2003-01-19
La Coruna,3,2003-01-19
Ath. Bilbao,0,2003-01-19
Mallorca,1,2003-01-19
Rec. Huelva,1,2003-01-19
Racing Santander,0,2003-01-19
Betis,3,2003-01-19
Rayo Vallecano,0,2003-01-19
Valladolid,3,2003-01-19
Villarreal,1,2003-01-19
Espanyol,1,2003-01-19
Sevilla,1,2003-01-19
Malaga,1,2003-01-19
Atl. Madrid,0,2003-01-25
Real Sociedad,3,2003-01-25
Celta Vigo,3,2003-01-26
Barcelona,0,2003-01-26
Ath. Bilbao,1,2003-01-26
Real Madrid,1,2003-01-26
Malaga,3,2003-01-26
Mallorca,0,2003-01-26
Betis,3,2003-01-26
Villarreal,0,2003-01-26
Espanyol,3,2003-01-26
La Coruna,0,2003-01-26
Osasuna,3,2003-01-26
Racing Santander,0,2003-01-26
Rec. Huelva,3,2003-01-26
Rayo Vallecano,0,2003-01-26
Valencia,3,2003-01-26
Sevilla,0,2003-01-26
Valladolid,0,2003-01-26
Alaves,3,2003-01-26
Atl. Madrid,3,2003-02-01
Barcelona,0,2003-02-01
Ath. Bilbao,3,2003-02-02
Real Sociedad,0,2003-02-02
Espanyol,1,2003-02-02
Real Madrid,1,2003-02-02
Malaga,3,2003-02-02
Rec. Huelva,0,2003-02-02
Alaves,1,2003-02-02
Rayo Vallecano,1,2003-02-02
Betis,0,2003-02-02
La Coruna,3,2003-02-02
Celta Vigo,0,2003-02-02
Sevilla,3,2003-02-02
Osasuna,0,2003-02-02
Villarreal,3,2003-02-02
Valencia,3,2003-02-02
Mallorca,0,2003-02-02
Valladolid,3,2003-02-02
Racing Santander,0,2003-02-02
Real Madrid,3,2003-02-08
Betis,0,2003-02-08
Villarreal,3,2003-02-08
Valladolid,0,2003-02-08
Barcelona,1,2003-02-09
Ath. Bilbao,1,2003-02-09
Sevilla,1,2003-02-09
Atl. Madrid,1,2003-02-09
La Coruna,1,2003-02-09
Osasuna,1,2003-02-09
Mallorca,0,2003-02-09
Celta Vigo,3,2003-02-09
Racing Santander,3,2003-02-09
Alaves,0,2003-02-09
Rayo Vallecano,3,2003-02-09
Malaga,0,2003-02-09
Real Sociedad,1,2003-02-09
Espanyol,1,2003-02-09
Rec. Huelva,1,2003-02-09
Valencia,1,2003-02-09
Valencia,3,2003-02-15
Malaga,0,2003-02-15
Valladolid,0,2003-02-15
La Coruna,3,2003-02-15
Espanyol,0,2003-02-15
Barcelona,3,2003-02-15
Betis,3,2003-02-16
Real Sociedad,0,2003-02-16
Atl. Madrid,3,2003-02-16
Mallorca,0,2003-02-16
Alaves,3,2003-02-16
Villarreal,0,2003-02-16
Ath. Bilbao,3,2003-02-16
Sevilla,0,2003-02-16
Celta Vigo,3,2003-02-16
Rec. Huelva,0,2003-02-16
Osasuna,3,2003-02-16
Real Madrid,0,2003-02-16
Racing Santander,3,2003-02-16
Rayo Vallecano,0,2003-02-16
Barcelona,3,2003-02-22
Betis,0,2003-02-22
La Coruna,3,2003-02-22
Alaves,0,2003-02-22
Real Madrid,3,2003-02-22
Valladolid,0,2003-02-22
Rayo Vallecano,0,2003-02-23
Valencia,3,2003-02-23
Malaga,1,2003-02-23
Celta Vigo,1,2003-02-23
Mallorca,1,2003-02-23
Ath. Bilbao,1,2003-02-23
Real Sociedad,3,2003-02-23
Osasuna,0,2003-02-23
Rec. Huelva,3,2003-02-23
Atl. Madrid,0,2003-02-23
Sevilla,3,2003-02-23
Espanyol,0,2003-02-23
Villarreal,0,2003-02-23
Racing Santander,3,2003-02-23
Alaves,0,2003-03-01
Real Madrid,3,2003-03-01
Ath. Bilbao,0,2003-03-01
Rec. Huelva,3,2003-03-01
Espanyol,3,2003-03-01
Mallorca,0,2003-03-01
Betis,0,2003-03-02
Sevilla,3,2003-03-02
Atl. Madrid,3,2003-03-02
Malaga,0,2003-03-02
Celta Vigo,1,2003-03-02
Valencia,1,2003-03-02
Osasuna,1,2003-03-02
Barcelona,1,2003-03-02
Racing Santander,0,2003-03-02
La Coruna,3,2003-03-02
Valladolid,3,2003-03-02
Real Sociedad,0,2003-03-02
Villarreal,3,2003-03-02
Rayo Vallecano,0,2003-03-02
Valencia,0,2003-03-08
Atl. Madrid,3,2003-03-08
Barcelona,1,2003-03-08
Valladolid,1,2003-03-08
La Coruna,3,2003-03-08
Villarreal,0,2003-03-08
Real Madrid,3,2003-03-08
Racing Santander,0,2003-03-08
Real Sociedad,3,2003-03-09
Alaves,0,2003-03-09
Malaga,3,2003-03-09
Ath. Bilbao,0,2003-03-09
Mallorca,3,2003-03-09
Betis,0,2003-03-09
Rayo Vallecano,3,2003-03-09
Celta Vigo,0,2003-03-09
Rec. Huelva,1,2003-03-09
Espanyol,1,2003-03-09
Sevilla,3,2003-03-09
Osasuna,0,2003-03-09
Racing Santander,0,2003-03-15
Real Sociedad,3,2003-03-15
La Coruna,3,2003-03-15
Rayo Vallecano,0,2003-03-15
Villarreal,0,2003-03-15
Real Madrid,3,2003-03-15
Ath. Bilbao,3,2003-03-16
Valencia,0,2003-03-16
Alaves,1,2003-03-16
Barcelona,1,2003-03-16
Atl. Madrid,0,2003-03-16
Celta Vigo,3,2003-03-16
Betis,1,2003-03-16
Rec. Huelva,1,2003-03-16
Espanyol,3,2003-03-16
Malaga,0,2003-03-16
Osasuna,1,2003-03-16
Mallorca,1,2003-03-16
Valladolid,1,2003-03-16
Sevilla,1,2003-03-16
Rayo Vallecano,1,2003-03-22
Atl. Madrid,1,2003-03-22
Real Madrid,3,2003-03-23
La Coruna,0,2003-03-23
Barcelona,3,2003-03-23
Racing Santander,0,2003-03-23
Celta Vigo,3,2003-03-23
Ath. Bilbao,0,2003-03-23
Malaga,1,2003-03-23
Betis,1,2003-03-23
Mallorca,3,2003-03-23
Valladolid,0,2003-03-23
Real Sociedad,1,2003-03-23
Villarreal,1,2003-03-23
Rec. Huelva,1,2003-03-23
Osasuna,1,2003-03-23
Sevilla,3,2003-03-23
Alaves,0,2003-03-23
Valencia,1,2003-03-23
Espanyol,1,2003-03-23
Espanyol,1,2003-04-05
Celta Vigo,1,2003-04-05
Betis,3,2003-04-05
Valencia,0,2003-04-05
Villarreal,3,2003-04-05
Barcelona,0,2003-04-05
Real Madrid,3,2003-04-05
Rayo Vallecano,0,2003-04-05
La Coruna,3,2003-04-06
Real Sociedad,0,2003-04-06
Ath. Bilbao,3,2003-04-06
Atl. Madrid,0,2003-04-06
Osasuna,0,2003-04-06
Malaga,3,2003-04-06
Valladolid,0,2003-04-06
Rec. Huelva,3,2003-04-06
Alaves,1,2003-04-06
Mallorca,1,2003-04-06
Racing Santander,3,2003-04-06
Sevilla,0,2003-04-06
Barcelona,0,2003-04-12
La Coruna,3,2003-04-12
Sevilla,3,2003-04-12
Villarreal,0,2003-04-12
Valencia,3,2003-04-13
Osasuna,0,2003-04-13
Real Sociedad,3,2003-04-13
Real Madrid,0,2003-04-13
Celta Vigo,3,2003-04-13
Betis,0,2003-04-13
Malaga,3,2003-04-13
Valladolid,0,2003-04-13
Rayo Vallecano,1,2003-04-13
Ath. Bilbao,1,2003-04-13
Atl. Madrid,1,2003-04-13
Espanyol,1,2003-04-13
Mallorca,1,2003-04-13
Racing Santander,1,2003-04-13
Rec. Huelva,3,2003-04-13
Alaves,0,2003-04-13
Real Madrid,1,2003-04-19
Barcelona,1,2003-04-19
Valladolid,3,2003-04-19
Valencia,0,2003-04-19
Villarreal,1,2003-04-19
Mallorca,1,2003-04-19
Real Sociedad,3,2003-04-20
Rayo Vallecano,0,2003-04-20
Betis,1,2003-04-20
Atl. Madrid,1,2003-04-20
Espanyol,1,2003-04-20
Ath. Bilbao,1,2003-04-20
La Coruna,3,2003-04-20
Sevilla,0,2003-04-20
Osasuna,0,2003-04-20
Celta Vigo,3,2003-04-20
Racing Santander,3,2003-04-20
Rec. Huelva,0,2003-04-20
Alaves,0,2003-04-20
Malaga,3,2003-04-20
Atl. Madrid,0,2003-04-26
Osasuna,3,2003-04-26
Ath. Bilbao,3,2003-04-26
Betis,0,2003-04-26
Barcelona,3,2003-04-27
Real Sociedad,0,2003-04-27
Sevilla,0,2003-04-27
Real Madrid,3,2003-04-27
Celta Vigo,1,2003-04-27
Valladolid,1,2003-04-27
Malaga,1,2003-04-27
Racing Santander,1,2003-04-27
Mallorca,3,2003-04-27
La Coruna,0,2003-04-27
Rayo Vallecano,0,2003-04-27
Espanyol,3,2003-04-27
Rec. Huelva,3,2003-04-27
Villarreal,0,2003-04-27
Valencia,3,2003-04-27
Alaves,0,2003-04-27
Real Sociedad,3,2003-05-03
Sevilla,0,2003-05-03
Real Madrid,0,2003-05-03
Mallorca,3,2003-05-03
La Coruna,3,2003-05-04
Rec. Huelva,0,2003-05-04
Barcelona,3,2003-05-04
Rayo Vallecano,0,2003-05-04
Osasuna,0,2003-05-04
Ath. Bilbao,3,2003-05-04
Betis,1,2003-05-04
Espanyol,1,2003-05-04
Racing Santander,3,2003-05-04
Valencia,0,2003-05-04
Valladolid,3,2003-05-04
Atl. Madrid,0,2003-05-04
Alaves,1,2003-05-04
Celta Vigo,1,2003-05-04
Villarreal,1,2003-05-04
Malaga,1,2003-05-04
Malaga,0,2003-05-10
La Coruna,3,2003-05-10
Espanyol,1,2003-05-10
Osasuna,1,2003-05-10
Ath. Bilbao,1,2003-05-10
Valladolid,1,2003-05-10
Rec. Huelva,1,2003-05-10
Real Madrid,1,2003-05-10
Atl. Madrid,0,2003-05-10
Alaves,3,2003-05-10
Sevilla,1,2003-05-11
Barcelona,1,2003-05-11
Valencia,0,2003-05-11
Villarreal,3,2003-05-11
Mallorca,0,2003-05-11
Real Sociedad,3,2003-05-11
Rayo Vallecano,1,2003-05-11
Betis,1,2003-05-11
Celta Vigo,1,2003-05-11
Racing Santander,1,2003-05-11
La Coruna,0,2003-05-17
Valencia,3,2003-05-17
Racing Santander,0,2003-05-17
Atl. Madrid,3,2003-05-17
Barcelona,0,2003-05-18
Mallorca,3,2003-05-18
Osasuna,3,2003-05-18
Betis,0,2003-05-18
Real Madrid,3,2003-05-18
Malaga,0,2003-05-18
Real Sociedad,3,2003-05-18
Rec. Huelva,0,2003-05-18
Alaves,0,2003-05-18
Ath. Bilbao,3,2003-05-18
Sevilla,1,2003-05-18
Rayo Vallecano,1,2003-05-18
Valladolid,1,2003-05-18
Espanyol,1,2003-05-18
Villarreal,3,2003-05-18
Celta Vigo,0,2003-05-18
Valencia,0,2003-05-24
Real Madrid,3,2003-05-24
Rayo Vallecano,1,2003-05-24
Osasuna,1,2003-05-24
Celta Vigo,3,2003-05-24
La Coruna,0,2003-05-24
Ath. Bilbao,3,2003-05-24
Racing Santander,0,2003-05-24
Atl. Madrid,3,2003-05-24
Villarreal,0,2003-05-24
Malaga,0,2003-05-25
Real Sociedad,3,2003-05-25
Betis,1,2003-05-25
Valladolid,1,2003-05-25
Rec. Huelva,0,2003-05-25
Barcelona,3,2003-05-25
Espanyol,3,2003-05-25
Alaves,0,2003-05-25
Mallorca,0,2003-05-25
Sevilla,3,2003-05-25
Real Madrid,1,2003-05-31
Celta Vigo,1,2003-05-31
Racing Santander,3,2003-06-01
Espanyol,0,2003-06-01
Real Sociedad,1,2003-06-01
Valencia,1,2003-06-01
Sevilla,3,2003-06-01
Rec. Huelva,0,2003-06-01
Barcelona,3,2003-06-01
Malaga,0,2003-06-01
Alaves,0,2003-06-01
Betis,3,2003-06-01
Mallorca,1,2003-06-01
Rayo Vallecano,1,2003-06-01
Valladolid,0,2003-06-01
Osasuna,3,2003-06-01
Villarreal,1,2003-06-01
Ath. Bilbao,1,2003-06-01
La Coruna,3,2003-06-01
Atl. Madrid,0,2003-06-01
Valladolid,3,2003-06-14
Rayo Vallecano,0,2003-06-14
Ath. Bilbao,3,2003-06-15
La Coruna,0,2003-06-15
Atl. Madrid,0,2003-06-15
Real Madrid,3,2003-06-15
Betis,3,2003-06-15
Racing Santander,0,2003-06-15
Celta Vigo,3,2003-06-15
Real Sociedad,0,2003-06-15
Espanyol,1,2003-06-15
Villarreal,1,2003-06-15
Malaga,3,2003-06-15
Sevilla,0,2003-06-15
Rec. Huelva,1,2003-06-15
Mallorca,1,2003-06-15
Valencia,0,2003-06-15
Barcelona,3,2003-06-15
Osasuna,3,2003-06-15
Alaves,0,2003-06-15
Racing Santander,0,2003-06-21
Osasuna,3,2003-06-21
Sevilla,0,2003-06-21
Valencia,3,2003-06-21
Alaves,1,2003-06-21
Valladolid,1,2003-06-21
Mallorca,3,2003-06-21
Malaga,0,2003-06-21
La Coruna,3,2003-06-21
Espanyol,0,2003-06-21
Rayo Vallecano,1,2003-06-21
Rec. Huelva,1,2003-06-21
Barcelona,3,2003-06-22
Celta Vigo,0,2003-06-22
Real Madrid,3,2003-06-22
Ath. Bilbao,0,2003-06-22
Real Sociedad,3,2003-06-22
Atl. Madrid,0,2003-06-22
Villarreal,0,2003-06-22
Betis,3,2003-06-22
