date,name,rating
1972-06-01,G.S. Chappell,139
1972-06-01,B.L. D'Oliveira,134
1972-06-01,K.W.R. Fletcher,134
1972-06-01,A.A. Mallett,99
1972-06-01,G.D. McKenzie,95
1972-06-01,K.R. Stackpole,94
1972-06-01,A.N. Connolly,90
1972-06-01,I.R. Redpath,86
1972-06-01,A.L. Thomson,85
1972-06-01,J.H. Hampshire,65
1972-06-01,R.W. Marsh,60
1972-06-01,P. Lever,37
1972-06-01,K. Shuttleworth,24
1972-06-01,M.C. Cowdrey,11
1972-06-01,R. Illingworth,9
1972-06-01,G. Boycott,4
1972-06-01,J.A. Snow,3
1972-07-01,J.H. Edrich,246
1972-07-01,I.M. Chappell,242
1972-07-01,K.D. Walters,229
1972-07-01,A.P.E. Knott,151
1972-07-01,W.M. Lawry,147
1972-07-01,G.S. Chappell,139
1972-07-01,B.L. D'Oliveira,134
1972-07-01,K.W.R. Fletcher,134
1972-07-01,A.A. Mallett,99
1972-07-01,G.D. McKenzie,95
1972-07-01,K.R. Stackpole,94
1972-07-01,A.N. Connolly,90
1972-07-01,I.R. Redpath,86
1972-07-01,A.L. Thomson,85
1972-07-01,J.H. Hampshire,65
1972-07-01,R.W. Marsh,60
1972-07-01,P. Lever,37
1972-07-01,K. Shuttleworth,24
1972-07-01,M.C. Cowdrey,11
1972-07-01,R. Illingworth,9
1972-07-01,G. Boycott,4
1972-07-01,J.A. Snow,3
1972-08-01,J.H. Edrich,246
1972-08-01,I.M. Chappell,242
1972-08-01,K.D. Walters,229
1972-08-01,A.P.E. Knott,151
1972-08-01,W.M. Lawry,147
1972-08-01,G.S. Chappell,139
1972-08-01,B.L. D'Oliveira,134
1972-08-01,K.W.R. Fletcher,134
1972-08-01,A.A. Mallett,99
1972-08-01,G.D. McKenzie,95
1972-08-01,K.R. Stackpole,94
1972-08-01,A.N. Connolly,90
1972-08-01,I.R. Redpath,86
1972-08-01,A.L. Thomson,85
1972-08-01,J.H. Hampshire,65
1972-08-01,R.W. Marsh,60
1972-08-01,P. Lever,37
1972-08-01,K. Shuttleworth,24
1972-08-01,M.C. Cowdrey,11
1972-08-01,R. Illingworth,9
1972-08-01,G. Boycott,4
1972-08-01,J.A. Snow,3
1972-09-01,K.R. Stackpole,371
1972-09-01,D.L. Amiss,354
1972-09-01,K.W.R. Fletcher,322
1972-09-01,I.M. Chappell,319
1972-09-01,G.S. Chappell,288
1972-09-01,J.H. Edrich,242
1972-09-01,A.P.E. Knott,226
1972-09-01,A.P. Sheahan,216
1972-09-01,G. Boycott,211
1972-09-01,K.D. Walters,202
1972-09-01,R. Edwards,195
1972-09-01,A.W. Greig,194
1972-09-01,D.B. Close,183
1972-09-01,B. Wood,138
1972-09-01,R.A.L. Massie,120
1972-09-01,D.K. Lillee,119
1972-09-01,J.R. Hammond,115
1972-09-01,A.A. Mallett,104
1972-09-01,B.L. D'Oliveira,101
1972-09-01,G.G. Arnold,100
1972-09-01,I.R. Redpath,85
1972-09-01,R.W. Marsh,80
1972-09-01,R.A. Woolmer,80
1972-09-01,J.A. Snow,76
1972-09-01,P. Lever,36
1972-09-01,R. Illingworth,9
1972-10-01,K.R. Stackpole,371
1972-10-01,D.L. Amiss,354
1972-10-01,K.W.R. Fletcher,322
1972-10-01,I.M. Chappell,319
1972-10-01,G.S. Chappell,288
1972-10-01,J.H. Edrich,242
1972-10-01,A.P.E. Knott,226
1972-10-01,A.P. Sheahan,216
1972-10-01,G. Boycott,211
1972-10-01,K.D. Walters,202
1972-10-01,R. Edwards,195
1972-10-01,A.W. Greig,194
1972-10-01,D.B. Close,183
1972-10-01,B. Wood,138
1972-10-01,R.A.L. Massie,120
1972-10-01,D.K. Lillee,119
1972-10-01,J.R. Hammond,115
1972-10-01,A.A. Mallett,104
1972-10-01,B.L. D'Oliveira,101
1972-10-01,G.G. Arnold,100
1972-10-01,I.R. Redpath,85
1972-10-01,R.W. Marsh,80
1972-10-01,R.A. Woolmer,80
1972-10-01,J.A. Snow,76
1972-10-01,P. Lever,36
1972-10-01,R. Illingworth,9
1972-11-01,K.R. Stackpole,371
1972-11-01,D.L. Amiss,354
1972-11-01,K.W.R. Fletcher,322
1972-11-01,I.M. Chappell,319
1972-11-01,G.S. Chappell,288
1972-11-01,J.H. Edrich,242
1972-11-01,A.P.E. Knott,226
1972-11-01,A.P. Sheahan,216
1972-11-01,G. Boycott,211
1972-11-01,K.D. Walters,202
1972-11-01,R. Edwards,195
1972-11-01,A.W. Greig,194
1972-11-01,D.B. Close,183
1972-11-01,B. Wood,138
1972-11-01,R.A.L. Massie,120
1972-11-01,D.K. Lillee,119
1972-11-01,J.R. Hammond,115
1972-11-01,A.A. Mallett,104
1972-11-01,B.L. D'Oliveira,101
1972-11-01,G.G. Arnold,100
1972-11-01,I.R. Redpath,85
1972-11-01,R.W. Marsh,80
1972-11-01,R.A. Woolmer,80
1972-11-01,J.A. Snow,76
1972-11-01,P. Lever,36
1972-11-01,R. Illingworth,9
1972-12-01,K.R. Stackpole,371
1972-12-01,D.L. Amiss,354
1972-12-01,K.W.R. Fletcher,322
1972-12-01,I.M. Chappell,319
1972-12-01,G.S. Chappell,288
1972-12-01,J.H. Edrich,242
1972-12-01,A.P.E. Knott,226
1972-12-01,A.P. Sheahan,216
1972-12-01,G. Boycott,211
1972-12-01,K.D. Walters,202
1972-12-01,R. Edwards,195
1972-12-01,A.W. Greig,194
1972-12-01,D.B. Close,183
1972-12-01,B. Wood,138
1972-12-01,R.A.L. Massie,120
1972-12-01,D.K. Lillee,119
1972-12-01,J.R. Hammond,115
1972-12-01,A.A. Mallett,104
1972-12-01,B.L. D'Oliveira,101
1972-12-01,G.G. Arnold,100
1972-12-01,I.R. Redpath,85
1972-12-01,R.W. Marsh,80
1972-12-01,R.A. Woolmer,80
1972-12-01,J.A. Snow,76
1972-12-01,P. Lever,36
1972-12-01,R. Illingworth,9
1973-01-01,K.R. Stackpole,371
1973-01-01,D.L. Amiss,354
1973-01-01,K.W.R. Fletcher,322
1973-01-01,I.M. Chappell,319
1973-01-01,G.S. Chappell,288
1973-01-01,J.H. Edrich,242
1973-01-01,A.P.E. Knott,226
1973-01-01,A.P. Sheahan,216
1973-01-01,G. Boycott,211
1973-01-01,K.D. Walters,202
1973-01-01,R. Edwards,195
1973-01-01,A.W. Greig,194
1973-01-01,D.B. Close,183
1973-01-01,B. Wood,138
1973-01-01,R.A.L. Massie,120
1973-01-01,D.K. Lillee,119
1973-01-01,J.R. Hammond,115
1973-01-01,A.A. Mallett,104
1973-01-01,B.L. D'Oliveira,101
1973-01-01,G.G. Arnold,100
1973-01-01,I.R. Redpath,85
1973-01-01,R.W. Marsh,80
1973-01-01,R.A. Woolmer,80
1973-01-01,J.A. Snow,76
1973-01-01,P. Lever,36
1973-01-01,R. Illingworth,9
1973-02-01,K.R. Stackpole,371
1973-02-01,D.L. Amiss,354
1973-02-01,K.W.R. Fletcher,322
1973-02-01,I.M. Chappell,319
1973-02-01,G.S. Chappell,288
1973-02-01,J.H. Edrich,242
1973-02-01,A.P.E. Knott,226
1973-02-01,A.P. Sheahan,216
1973-02-01,G. Boycott,211
1973-02-01,K.D. Walters,202
1973-02-01,R. Edwards,195
1973-02-01,A.W. Greig,194
1973-02-01,D.B. Close,183
1973-02-01,B. Wood,138
1973-02-01,R.A.L. Massie,120
1973-02-01,D.K. Lillee,119
1973-02-01,J.R. Hammond,115
1973-02-01,A.A. Mallett,104
1973-02-01,B.L. D'Oliveira,101
1973-02-01,G.G. Arnold,100
1973-02-01,I.R. Redpath,85
1973-02-01,R.W. Marsh,80
1973-02-01,R.A. Woolmer,80
1973-02-01,J.A. Snow,76
1973-02-01,P. Lever,36
1973-02-01,R. Illingworth,9
1973-03-01,K.R. Stackpole,371
1973-03-01,D.L. Amiss,354
1973-03-01,K.W.R. Fletcher,322
1973-03-01,I.M. Chappell,319
1973-03-01,G.S. Chappell,288
1973-03-01,J.H. Edrich,242
1973-03-01,M.G. Burgess,242
1973-03-01,A.P.E. Knott,226
1973-03-01,Sadiq Mohammad,219
1973-03-01,G. Boycott,211
1973-03-01,K.D. Walters,202
1973-03-01,R. Edwards,195
1973-03-01,A.W. Greig,194
1973-03-01,K.J. Wadsworth,180
1973-03-01,Mushtaq Mohammad,158
1973-03-01,Sarfraz Nawaz,151
1973-03-01,B. Wood,138
1973-03-01,P.G. Coman,136
1973-03-01,R.J. Hadlee,135
1973-03-01,Wasim Bari,135
1973-03-01,Salim Altaf,127
1973-03-01,D.K. Lillee,119
1973-03-01,A.A. Mallett,104
1973-03-01,G.G. Arnold,100
1973-03-01,I.R. Redpath,85
1973-03-01,G.E. Vivian,81
1973-03-01,R.W. Marsh,80
1973-03-01,R.A. Woolmer,80
1973-03-01,J.A. Snow,76
1973-03-01,R.O. Collinge,61
1973-03-01,Majid Khan,57
1973-03-01,Intikhab Alam,39
1973-03-01,P. Lever,36
1973-03-01,Asif Masood,36
1973-03-01,B.F. Hastings,33
1973-03-01,B.E. Congdon,29
1973-03-01,H.J. Howarth,17
1973-03-01,D.R. Hadlee,16
1973-03-01,G.M. Turner,15
1973-03-01,Wasim Raja,11
1973-03-01,Asif Iqbal,9
1973-03-01,R. Illingworth,9
1973-03-01,Nasim-ul-Ghani,8
1973-04-01,K.R. Stackpole,371
1973-04-01,D.L. Amiss,354
1973-04-01,K.W.R. Fletcher,322
1973-04-01,I.M. Chappell,319
1973-04-01,G.S. Chappell,288
1973-04-01,J.H. Edrich,242
1973-04-01,M.G. Burgess,242
1973-04-01,A.P.E. Knott,226
1973-04-01,Sadiq Mohammad,219
1973-04-01,G. Boycott,211
1973-04-01,K.D. Walters,202
1973-04-01,R. Edwards,195
1973-04-01,A.W. Greig,194
1973-04-01,K.J. Wadsworth,180
1973-04-01,Mushtaq Mohammad,158
1973-04-01,Sarfraz Nawaz,151
1973-04-01,B. Wood,138
1973-04-01,P.G. Coman,136
1973-04-01,R.J. Hadlee,135
1973-04-01,Wasim Bari,135
1973-04-01,Salim Altaf,127
1973-04-01,D.K. Lillee,119
1973-04-01,A.A. Mallett,104
1973-04-01,G.G. Arnold,100
1973-04-01,I.R. Redpath,85
1973-04-01,G.E. Vivian,81
1973-04-01,R.W. Marsh,80
1973-04-01,R.A. Woolmer,80
1973-04-01,J.A. Snow,76
1973-04-01,R.O. Collinge,61
1973-04-01,Majid Khan,57
1973-04-01,Intikhab Alam,39
1973-04-01,P. Lever,36
1973-04-01,Asif Masood,36
1973-04-01,B.F. Hastings,33
1973-04-01,B.E. Congdon,29
1973-04-01,H.J. Howarth,17
1973-04-01,D.R. Hadlee,16
1973-04-01,G.M. Turner,15
1973-04-01,Wasim Raja,11
1973-04-01,Asif Iqbal,9
1973-04-01,R. Illingworth,9
1973-04-01,Nasim-ul-Ghani,8
1973-05-01,K.R. Stackpole,371
1973-05-01,D.L. Amiss,354
1973-05-01,K.W.R. Fletcher,322
1973-05-01,I.M. Chappell,319
1973-05-01,G.S. Chappell,288
1973-05-01,J.H. Edrich,242
1973-05-01,M.G. Burgess,242
1973-05-01,A.P.E. Knott,226
1973-05-01,Sadiq Mohammad,219
1973-05-01,G. Boycott,211
1973-05-01,K.D. Walters,202
1973-05-01,R. Edwards,195
1973-05-01,A.W. Greig,194
1973-05-01,K.J. Wadsworth,180
1973-05-01,Mushtaq Mohammad,158
1973-05-01,Sarfraz Nawaz,151
1973-05-01,B. Wood,138
1973-05-01,P.G. Coman,136
1973-05-01,R.J. Hadlee,135
1973-05-01,Wasim Bari,135
1973-05-01,Salim Altaf,127
1973-05-01,D.K. Lillee,119
1973-05-01,A.A. Mallett,104
1973-05-01,G.G. Arnold,100
1973-05-01,I.R. Redpath,85
1973-05-01,G.E. Vivian,81
1973-05-01,R.W. Marsh,80
1973-05-01,R.A. Woolmer,80
1973-05-01,J.A. Snow,76
1973-05-01,R.O. Collinge,61
1973-05-01,Majid Khan,57
1973-05-01,Intikhab Alam,39
1973-05-01,P. Lever,36
1973-05-01,Asif Masood,36
1973-05-01,B.F. Hastings,33
1973-05-01,B.E. Congdon,29
1973-05-01,H.J. Howarth,17
