Date,Player,Points
1985-01-01,M.D. Crowe (NZ),344
1985-01-01,A.J. Traicos (SA),343
1985-01-01,D.R. Pringle (ENG),340
1985-01-01,C. Sharma (IND),332
1985-01-01,N.A. Foster (ENG),331
1985-01-01,A.R. Border (AUS),325
1985-01-01,Tauseef Ahmed (PAK),323
1985-01-01,K.H. Macleay (AUS),321
1985-01-01,S.M. Patil (IND),319
1985-01-01,J.R. Ratnayeke (SL),318
1985-01-01,Wasim Raja (PAK),309
1985-01-01,A.K. Patel (IND),308
1985-01-01,P.H. Edmonds (ENG),301
1985-01-01,K.C. Wessels (AUS),300
1985-01-01,G.A. Gooch (ENG),288
1985-01-01,J.G. Bracewell (NZ),272
1985-01-01,E.E. Hemmings (ENG),270
1985-01-01,J.E. Emburey (ENG),269
1985-01-01,S.H.U. Karnain (SL),267
1985-01-01,P. Willey (ENG),267
1985-01-01,Azeem Hafeez (PAK),267
1985-01-01,Manzoor Elahi (PAK),262
1985-01-01,Zakir Khan (PAK),250
1985-01-01,K. Azad (IND),225
1985-01-01,Iqbal Qasim (PAK),220
1985-01-01,M.W. Gatting (ENG),215
1985-01-01,Javed Miandad (PAK),213
1985-01-01,C.H. Lloyd (WI),209
1985-01-01,Zaheer Abbas (PAK),203
1985-01-01,K.M. Curran (ZIM),201
1985-01-01,I.P. Butchart (ZIM),191
1985-01-01,Yashpal Sharma (IND),189
1985-01-01,Mohsin Kamal (PAK),188
1985-01-01,P.E. McEwan (NZ),176
1985-01-01,R.S. Ghai (IND),164
1985-01-01,Maninder Singh (IND),164
1985-01-01,G.K. Robertson (NZ),159
1985-01-01,G.R.J. Matthews (AUS),145
1985-01-01,R.J. Bright (AUS),131
1985-01-01,S. Wettimuny (SL),123
1985-01-01,Mansoor Akhtar (PAK),118
1985-01-01,G.P. Howarth (NZ),117
1985-01-01,M.J. Bennett (AUS),106
1985-01-01,R.M. Ellison (ENG),95
1985-01-01,Naved Anjum (PAK),92
1985-01-01,M.A.R. Samarasekera (SL),86
1985-01-01,C.G. Greenidge (WI),83
1985-01-01,R.G.C.E. Wijesuriya (SL),79
1985-01-01,S. Jeganathan (SL),73
1985-01-01,N.G.B. Cook (ENG),69
1985-01-01,R.R. Kulkarni (IND),69
1985-01-01,M.R. Whitney (AUS),59
1985-01-01,A.H. Shah (ZIM),59
1985-01-01,D.W. Hookes (AUS),51
1985-01-01,K. Srikkanth (IND),50
1985-01-01,S.M. Gavaskar (IND),47
1985-02-01,J. Garner (WI),925
1985-02-01,M.D. Marshall (WI),891
1985-02-01,R.J. Hadlee (NZ),866
1985-02-01,E.J. Chatfield (NZ),854
1985-02-01,M.A. Holding (WI),818
1985-02-01,G.F. Lawson (AUS),786
1985-02-01,Kapil Dev (IND),753
1985-02-01,B.L. Cairns (NZ),708
1985-02-01,R.M. Hogg (AUS),687
1985-02-01,Madan Lal (IND),686
1985-02-01,V.J. Marks (ENG),685
1985-02-01,Imran Khan (PAK),647
1985-02-01,C.G. Rackemann (AUS),643
1985-02-01,I.T. Botham (ENG),638
1985-02-01,Mudassar Nazar (PAK),632
1985-02-01,J.V. Coney (NZ),615
1985-02-01,M.C. Snedden (NZ),609
1985-02-01,W.W. Davis (WI),568
1985-02-01,D.S. de Silva (SL),564
1985-02-01,A.L.F. de Mel (SL),562
1985-02-01,V.B. John (SL),548
1985-02-01,R.J. Ratnayake (SL),532
1985-02-01,R.J. Shastri (IND),530
1985-02-01,T.M. Alderman (AUS),529
1985-02-01,I.V.A. Richards (WI),528
1985-02-01,Abdul Qadir (PAK),527
1985-02-01,Rashid Khan (PAK),524
1985-02-01,E.A.E. Baptiste (WI),521
1985-02-01,J.R. Thomson (AUS),505
1985-02-01,R.M.H. Binny (IND),496
1985-02-01,N.G. Cowans (ENG),478
1985-02-01,G.B. Troup (NZ),446
1985-02-01,G.R. Dilley (ENG),444
1985-02-01,Sikander Bakht (PAK),436
1985-02-01,A. Ranatunga (SL),420
1985-02-01,M. Amarnath (IND),413
1985-02-01,H.A. Gomes (WI),397
1985-02-01,P.J.W. Allott (ENG),390
1985-02-01,R.A. Harper (WI),387
1985-02-01,S.P. O'Donnell (AUS),368
1985-02-01,Ijaz Faqih (PAK),366
1985-02-01,Tahir Naqqash (PAK),363
1985-02-01,P.W.E. Rawson (ZIM),359
1985-02-01,C.J. McDermott (AUS),351
1985-02-01,S.L. Boock (NZ),351
1985-02-01,Wasim Raja (PAK),344
1985-02-01,P.H. Edmonds (ENG),344
1985-02-01,A.J. Traicos (SA),343
1985-02-01,M.D. Crowe (NZ),338
1985-02-01,K.C. Wessels (AUS),338
1985-02-01,D.R. Pringle (ENG),335
1985-02-01,M. Prabhakar (IND),335
1985-02-01,C. Sharma (IND),329
1985-02-01,N.A. Foster (ENG),325
1985-02-01,S.H.U. Karnain (SL),321
1985-02-01,Tauseef Ahmed (PAK),320
1985-02-01,J.R. Ratnayeke (SL),318
1985-02-01,S.M. Patil (IND),315
1985-02-01,K.H. Macleay (AUS),307
1985-02-01,J.G. Bracewell (NZ),304
1985-02-01,A.R. Border (AUS),302
1985-02-01,G.A. Gooch (ENG),283
1985-02-01,Azeem Hafeez (PAK),280
1985-02-01,Iqbal Qasim (PAK),267
1985-02-01,E.E. Hemmings (ENG),266
1985-02-01,J.E. Emburey (ENG),265
1985-02-01,M.J. Bennett (AUS),264
1985-02-01,P. Willey (ENG),263
1985-02-01,Manzoor Elahi (PAK),259
1985-02-01,Zakir Khan (PAK),247
1985-02-01,Mohsin Kamal (PAK),227
1985-02-01,M.W. Gatting (ENG),227
1985-02-01,K. Azad (IND),222
1985-02-01,R.J. McCurdy (AUS),214
1985-02-01,Javed Miandad (PAK),213
1985-02-01,C.A. Walsh (WI),207
1985-02-01,C.H. Lloyd (WI),204
1985-02-01,Zaheer Abbas (PAK),201
1985-02-01,K.M. Curran (ZIM),201
1985-02-01,I.P. Butchart (ZIM),191
1985-02-01,J.P. Agnew (ENG),182
1985-02-01,P.E. McEwan (NZ),174
1985-02-01,G.N. de Silva (SL),165
1985-02-01,Maninder Singh (IND),162
1985-02-01,R.M. Ellison (ENG),157
1985-02-01,G.K. Robertson (NZ),157
1985-02-01,R.S. Ghai (IND),153
1985-02-01,G.R.J. Matthews (AUS),139
1985-02-01,R.J. Bright (AUS),125
1985-02-01,S. Wettimuny (SL),124
1985-02-01,G.P. Howarth (NZ),123
1985-02-01,Mansoor Akhtar (PAK),117
1985-02-01,R.L. Dias (SL),111
1985-02-01,Naved Anjum (PAK),91
1985-02-01,C.G. Greenidge (WI),83
1985-02-01,M.A.R. Samarasekera (SL),82
1985-02-01,R.G.C.E. Wijesuriya (SL),75
1985-02-01,S. Jeganathan (SL),70
1985-02-01,Salim Malik (PAK),70
1985-02-01,N.G.B. Cook (ENG),68
1985-03-01,J. Garner (WI),928
1985-03-01,R.J. Hadlee (NZ),872
1985-03-01,E.J. Chatfield (NZ),863
1985-03-01,G.F. Lawson (AUS),836
1985-03-01,M.D. Marshall (WI),831
1985-03-01,M.A. Holding (WI),829
1985-03-01,Kapil Dev (IND),758
1985-03-01,B.L. Cairns (NZ),728
1985-03-01,Madan Lal (IND),705
1985-03-01,Imran Khan (PAK),671
1985-03-01,R.M. Hogg (AUS),670
1985-03-01,V.J. Marks (ENG),664
1985-03-01,J.V. Coney (NZ),634
1985-03-01,I.T. Botham (ENG),631
1985-03-01,C.G. Rackemann (AUS),624
1985-03-01,Mudassar Nazar (PAK),616
1985-03-01,M.C. Snedden (NZ),597
1985-03-01,V.B. John (SL),592
1985-03-01,W.W. Davis (WI),589
1985-03-01,R.J. Shastri (IND),566
1985-03-01,T.M. Alderman (AUS),558
1985-03-01,I.V.A. Richards (WI),548
1985-03-01,A.L.F. de Mel (SL),543
1985-03-01,D.S. de Silva (SL),541
1985-03-01,R.J. Ratnayake (SL),536
1985-03-01,R.M.H. Binny (IND),532
1985-03-01,Abdul Qadir (PAK),517
1985-03-01,E.A.E. Baptiste (WI),505
1985-03-01,N.G. Cowans (ENG),490
1985-03-01,J.R. Thomson (AUS),490
1985-03-01,C.J. McDermott (AUS),483
1985-03-01,S.P. O'Donnell (AUS),464
1985-03-01,G.R. Dilley (ENG),439
1985-03-01,G.B. Troup (NZ),437
1985-03-01,Sikander Bakht (PAK),428
1985-03-01,M. Amarnath (IND),410
1985-03-01,R.J. McCurdy (AUS),408
1985-03-01,Tahir Naqqash (PAK),393
1985-03-01,A. Ranatunga (SL),389
1985-03-01,P.J.W. Allott (ENG),386
1985-03-01,H.A. Gomes (WI),377
1985-03-01,R.A. Harper (WI),376
1985-03-01,P.H. Edmonds (ENG),372
1985-03-01,P.W.E. Rawson (ZIM),359
1985-03-01,Ijaz Faqih (PAK),359
1985-03-01,Wasim Raja (PAK),358
1985-03-01,N.A. Foster (ENG),357
1985-03-01,S.L. Boock (NZ),344
1985-03-01,A.J. Traicos (SA),343
1985-03-01,M. Prabhakar (IND),332
1985-03-01,M.D. Crowe (NZ),331
1985-03-01,D.R. Pringle (ENG),331
1985-03-01,J.G. Bracewell (NZ),330
1985-03-01,C. Sharma (IND),326
1985-03-01,S.H.U. Karnain (SL),322
1985-03-01,K.C. Wessels (AUS),322
1985-03-01,Tauseef Ahmed (PAK),313
1985-03-01,S.M. Patil (IND),311
1985-03-01,Azeem Hafeez (PAK),311
1985-03-01,J.R. Ratnayeke (SL),306
1985-03-01,K.H. Macleay (AUS),297
1985-03-01,L. Sivaramakrishnan (IND),294
1985-03-01,A.R. Border (AUS),283
1985-03-01,G.A. Gooch (ENG),280
1985-03-01,Wasim Akram (PAK),275
1985-03-01,E.E. Hemmings (ENG),263
1985-03-01,J.E. Emburey (ENG),262
1985-03-01,Iqbal Qasim (PAK),261
1985-03-01,P. Willey (ENG),261
1985-03-01,M.J. Bennett (AUS),256
1985-03-01,Manzoor Elahi (PAK),254
1985-03-01,Zakir Khan (PAK),242
1985-03-01,C.A. Walsh (WI),237
1985-03-01,R.M. Ellison (ENG),228
1985-03-01,M.W. Gatting (ENG),226
1985-03-01,Mohsin Kamal (PAK),222
1985-03-01,K. Azad (IND),220
1985-03-01,Javed Miandad (PAK),214
1985-03-01,Zaheer Abbas (PAK),209
1985-03-01,C.H. Lloyd (WI),205
1985-03-01,K.M. Curran (ZIM),201
1985-03-01,I.P. Butchart (ZIM),191
1985-03-01,P.E. McEwan (NZ),180
1985-03-01,Maninder Singh (IND),160
1985-03-01,G.K. Robertson (NZ),154
1985-03-01,R.S. Ghai (IND),152
1985-03-01,G.R.J. Matthews (AUS),135
1985-03-01,G.P. Howarth (NZ),125
1985-03-01,R.L. Dias (SL),124
1985-03-01,S. Wettimuny (SL),122
1985-03-01,R.J. Bright (AUS),121
1985-03-01,Mansoor Akhtar (PAK),114
1985-03-01,Salim Malik (PAK),101
1985-03-01,Naved Anjum (PAK),89
1985-03-01,C.G. Greenidge (WI),81
1985-03-01,M.A.R. Samarasekera (SL),81
1985-03-01,R.G.C.E. Wijesuriya (SL),74
1985-03-01,S. Jeganathan (SL),68
1985-03-01,N.G.B. Cook (ENG),68
1985-03-01,R.R. Kulkarni (IND),67
1985-04-01,J. Garner (WI),935
1985-04-01,R.J. Hadlee (NZ),881
1985-04-01,M.A. Holding (WI),847
1985-04-01,Kapil Dev (IND),840
1985-04-01,E.J. Chatfield (NZ),836
1985-04-01,M.D. Marshall (WI),813
1985-04-01,G.F. Lawson (AUS),805
1985-04-01,Imran Khan (PAK),720
1985-04-01,Madan Lal (IND),709
1985-04-01,B.L. Cairns (NZ),693
1985-04-01,V.J. Marks (ENG),678
1985-04-01,R.J. Shastri (IND),662
1985-04-01,W.W. Davis (WI),629
1985-04-01,I.T. Botham (ENG),622
1985-04-01,J.V. Coney (NZ),620
1985-04-01,Mudassar Nazar (PAK),617
1985-04-01,C.G. Rackemann (AUS),615
1985-04-01,V.B. John (SL),592
1985-04-01,M.C. Snedden (NZ),577
1985-04-01,A.L.F. de Mel (SL),543
1985-04-01,R.M.H. Binny (IND),538
1985-04-01,T.M. Alderman (AUS),538
1985-04-01,R.J. Ratnayake (SL),536
1985-04-01,I.V.A. Richards (WI),532
1985-04-01,C.J. McDermott (AUS),517
1985-04-01,Tahir Naqqash (PAK),515
1985-04-01,Abdul Qadir (PAK),504
1985-04-01,E.A.E. Baptiste (WI),491
1985-04-01,S.P. O'Donnell (AUS),490
1985-04-01,N.G. Cowans (ENG),485
1985-04-01,J.R. Thomson (AUS),483
1985-04-01,M. Amarnath (IND),483
1985-04-01,G.B. Troup (NZ),477
1985-04-01,R.A. Harper (WI),447
1985-04-01,P.H. Edmonds (ENG),438
1985-04-01,G.R. Dilley (ENG),433
1985-04-01,Sikander Bakht (PAK),417
1985-04-01,A. Ranatunga (SL),389
1985-04-01,N.A. Foster (ENG),387
1985-04-01,R.J. McCurdy (AUS),385
1985-04-01,P.J.W. Allott (ENG),380
1985-04-01,H.A. Gomes (WI),367
1985-04-01,L. Sivaramakrishnan (IND),364
1985-04-01,Tauseef Ahmed (PAK),362
1985-04-01,P.W.E. Rawson (ZIM),359
1985-04-01,Ijaz Faqih (PAK),350
1985-04-01,C. Sharma (IND),348
1985-04-01,D.R. Pringle (ENG),346
1985-04-01,A.J. Traicos (SA),343
1985-04-01,S.L. Boock (NZ),338
1985-04-01,Wasim Akram (PAK),327
1985-04-01,R.M. Ellison (ENG),325
1985-04-01,M. Prabhakar (IND),323
1985-04-01,S.H.U. Karnain (SL),322
1985-04-01,M.D. Crowe (NZ),320
1985-04-01,K.C. Wessels (AUS),315
1985-04-01,J.G. Bracewell (NZ),314
1985-04-01,M.J. Bennett (AUS),311
1985-04-01,G.R.J. Matthews (AUS),310
1985-04-01,J.R. Ratnayeke (SL),306
1985-04-01,A.R. Border (AUS),304
1985-04-01,S.M. Patil (IND),304
1985-04-01,K.H. Macleay (AUS),293
1985-04-01,G.A. Gooch (ENG),276
1985-04-01,E.E. Hemmings (ENG),259
1985-04-01,J.E. Emburey (ENG),258
1985-04-01,P. Willey (ENG),257
1985-04-01,Iqbal Qasim (PAK),255
1985-04-01,Manzoor Elahi (PAK),244
1985-04-01,Zakir Khan (PAK),236
1985-04-01,C.A. Walsh (WI),232
1985-04-01,M.W. Gatting (ENG),223
1985-04-01,Mohsin Kamal (PAK),217
1985-04-01,Javed Miandad (PAK),214
1985-04-01,K. Azad (IND),214
1985-04-01,Zaheer Abbas (PAK),204
1985-04-01,K.M. Curran (ZIM),201
1985-04-01,I.P. Butchart (ZIM),191
1985-04-01,Maninder Singh (IND),156
1985-04-01,G.K. Robertson (NZ),151
1985-04-01,R.S. Ghai (IND),148
1985-04-01,G.P. Howarth (NZ),126
1985-04-01,Salim Malik (PAK),125
1985-04-01,R.L. Dias (SL),124
1985-04-01,S. Wettimuny (SL),122
1985-04-01,R.J. Bright (AUS),120
1985-04-01,Mansoor Akhtar (PAK),112
1985-04-01,Naved Anjum (PAK),87
1985-04-01,M.A.R. Samarasekera (SL),81
1985-04-01,C.G. Greenidge (WI),80
1985-04-01,R.G.C.E. Wijesuriya (SL),74
1985-04-01,S. Jeganathan (SL),68
1985-04-01,N.G.B. Cook (ENG),67
1985-04-01,R.R. Kulkarni (IND),66
1985-04-01,R.G. Holland (AUS),62
1985-04-01,A.H. Shah (ZIM),59
1985-04-01,Shoaib Mohammad (PAK),55
1985-04-01,M.R. Whitney (AUS),54
1985-04-01,K. Srikkanth (IND),51
1985-04-01,D.L. Haynes (WI),47
1985-05-01,J. Garner (WI),940
1985-05-01,M.A. Holding (WI),856
1985-05-01,R.J. Hadlee (NZ),844
1985-05-01,Kapil Dev (IND),840
1985-05-01,G.F. Lawson (AUS),805
1985-05-01,M.D. Marshall (WI),801
1985-05-01,E.J. Chatfield (NZ),796
1985-05-01,Imran Khan (PAK),720
1985-05-01,Madan Lal (IND),709
1985-05-01,W.W. Davis (WI),698
1985-05-01,V.J. Marks (ENG),678
1985-05-01,R.J. Shastri (IND),662
1985-05-01,B.L. Cairns (NZ),644
1985-05-01,I.T. Botham (ENG),622
1985-05-01,Mudassar Nazar (PAK),617
1985-05-01,C.G. Rackemann (AUS),615
1985-05-01,J.V. Coney (NZ),594
1985-05-01,V.B. John (SL),592
1985-05-01,M.C. Snedden (NZ),569
1985-05-01,I.V.A. Richards (WI),566
1985-05-01,E.A.E. Baptiste (WI),545
1985-05-01,R.A. Harper (WI),544
1985-05-01,A.L.F. de Mel (SL),543
1985-05-01,R.M.H. Binny (IND),538
1985-05-01,T.M. Alderman (AUS),538
1985-05-01,R.J. Ratnayake (SL),536
1985-05-01,C.J. McDermott (AUS),517
1985-05-01,Tahir Naqqash (PAK),515
1985-05-01,Abdul Qadir (PAK),504
1985-05-01,S.P. O'Donnell (AUS),490
1985-05-01,N.G. Cowans (ENG),485
1985-05-01,J.R. Thomson (AUS),483
1985-05-01,M. Amarnath (IND),483
1985-05-01,G.B. Troup (NZ),467
1985-05-01,P.H. Edmonds (ENG),438
1985-05-01,G.R. Dilley (ENG),433
1985-05-01,Sikander Bakht (PAK),417
1985-05-01,A. Ranatunga (SL),389
1985-05-01,N.A. Foster (ENG),387
1985-05-01,P.J.W. Allott (ENG),380
1985-05-01,H.A. Gomes (WI),365
1985-05-01,L. Sivaramakrishnan (IND),364
1985-05-01,Tauseef Ahmed (PAK),362
1985-05-01,P.W.E. Rawson (ZIM),359
1985-05-01,Ijaz Faqih (PAK),350
1985-05-01,C. Sharma (IND),348
1985-05-01,D.R. Pringle (ENG),346
1985-05-01,A.J. Traicos (SA),343
1985-05-01,S.L. Boock (NZ),333
1985-05-01,Wasim Akram (PAK),327
1985-05-01,R.M. Ellison (ENG),325
1985-05-01,M. Prabhakar (IND),323
1985-05-01,S.H.U. Karnain (SL),322
1985-05-01,K.C. Wessels (AUS),315
1985-05-01,M.D. Crowe (NZ),313
1985-05-01,G.R.J. Matthews (AUS),310
1985-05-01,J.R. Ratnayeke (SL),306
1985-05-01,A.R. Border (AUS),304
1985-05-01,S.M. Patil (IND),304
1985-05-01,J.G. Bracewell (NZ),299
1985-05-01,K.H. Macleay (AUS),293
1985-05-01,G.A. Gooch (ENG),276
1985-05-01,E.E. Hemmings (ENG),259
1985-05-01,J.E. Emburey (ENG),258
1985-05-01,P. Willey (ENG),257
1985-05-01,Iqbal Qasim (PAK),255
1985-05-01,Manzoor Elahi (PAK),244
1985-05-01,Zakir Khan (PAK),236
1985-05-01,C.A. Walsh (WI),229
1985-05-01,M.W. Gatting (ENG),223
1985-05-01,Mohsin Kamal (PAK),217
1985-05-01,Javed Miandad (PAK),214
1985-05-01,K. Azad (IND),214
1985-05-01,Zaheer Abbas (PAK),204
1985-05-01,K.M. Curran (ZIM),201
1985-05-01,I.P. Butchart (ZIM),191
1985-05-01,Maninder Singh (IND),156
1985-05-01,G.K. Robertson (NZ),149
1985-05-01,R.S. Ghai (IND),148
1985-05-01,G.P. Howarth (NZ),127
1985-05-01,Salim Malik (PAK),125
1985-05-01,R.L. Dias (SL),124
1985-05-01,S. Wettimuny (SL),122
1985-05-01,R.J. Bright (AUS),120
1985-05-01,Mansoor Akhtar (PAK),112
1985-05-01,Naved Anjum (PAK),87
1985-05-01,M.A.R. Samarasekera (SL),81
1985-05-01,C.G. Greenidge (WI),78
1985-05-01,R.G.C.E. Wijesuriya (SL),74
1985-05-01,S. Jeganathan (SL),68
1985-05-01,N.G.B. Cook (ENG),67
1985-05-01,R.R. Kulkarni (IND),66
1985-05-01,R.G. Holland (AUS),62
1985-05-01,A.H. Shah (ZIM),59
1985-05-01,Shoaib Mohammad (PAK),55
1985-05-01,M.R. Whitney (AUS),54
1985-05-01,K. Srikkanth (IND),51
1985-05-01,S.M. Gavaskar (IND),47
1985-05-01,D.L. Haynes (WI),47
1985-05-01,D.W. Hookes (AUS),46
1985-06-01,J. Garner (WI),940
1985-06-01,M.A. Holding (WI),856
1985-06-01,R.J. Hadlee (NZ),844
1985-06-01,Kapil Dev (IND),840
1985-06-01,G.F. Lawson (AUS),826
1985-06-01,M.D. Marshall (WI),801
1985-06-01,E.J. Chatfield (NZ),796
1985-06-01,Imran Khan (PAK),720
1985-06-01,Madan Lal (IND),709
1985-06-01,W.W. Davis (WI),698
1985-06-01,V.J. Marks (ENG),671
1985-06-01,R.J. Shastri (IND),662
1985-06-01,I.T. Botham (ENG),628
1985-06-01,Mudassar Nazar (PAK),617
1985-06-01,C.G. Rackemann (AUS),609
1985-06-01,J.V. Coney (NZ),594
1985-06-01,V.B. John (SL),592
1985-06-01,M.C. Snedden (NZ),569
1985-06-01,I.V.A. Richards (WI),566
1985-06-01,C.J. McDermott (AUS),555
1985-06-01,E.A.E. Baptiste (WI),545
1985-06-01,R.A. Harper (WI),544
1985-06-01,A.L.F. de Mel (SL),543
1985-06-01,R.M.H. Binny (IND),538
1985-06-01,R.J. Ratnayake (SL),536
1985-06-01,T.M. Alderman (AUS),533
1985-06-01,S.P. O'Donnell (AUS),528
1985-06-01,N.G. Cowans (ENG),519
1985-06-01,Tahir Naqqash (PAK),515
1985-06-01,Abdul Qadir (PAK),504
1985-06-01,J.R. Thomson (AUS),484
1985-06-01,M. Amarnath (IND),483
1985-06-01,P.H. Edmonds (ENG),471
1985-06-01,G.R. Dilley (ENG),428
1985-06-01,Sikander Bakht (PAK),417
1985-06-01,P.J.W. Allott (ENG),408
1985-06-01,A. Ranatunga (SL),389
1985-06-01,N.A. Foster (ENG),383
1985-06-01,H.A. Gomes (WI),365
1985-06-01,L. Sivaramakrishnan (IND),364
1985-06-01,Tauseef Ahmed (PAK),362
1985-06-01,P.W.E. Rawson (ZIM),359
1985-06-01,Ijaz Faqih (PAK),350
1985-06-01,C. Sharma (IND),348
1985-06-01,D.R. Pringle (ENG),343
1985-06-01,A.J. Traicos (SA),343
1985-06-01,S.L. Boock (NZ),333
1985-06-01,Wasim Akram (PAK),327
1985-06-01,M. Prabhakar (IND),323
1985-06-01,G.R.J. Matthews (AUS),323
1985-06-01,S.H.U. Karnain (SL),322
1985-06-01,R.M. Ellison (ENG),322
1985-06-01,M.D. Crowe (NZ),313
1985-06-01,K.C. Wessels (AUS),309
1985-06-01,P. Willey (ENG),309
1985-06-01,J.R. Ratnayeke (SL),306
1985-06-01,S.M. Patil (IND),304
1985-06-01,J.G. Bracewell (NZ),299
1985-06-01,A.R. Border (AUS),298
1985-06-01,K.H. Macleay (AUS),290
1985-06-01,G.A. Gooch (ENG),276
1985-06-01,E.E. Hemmings (ENG),257
1985-06-01,J.E. Emburey (ENG),255
1985-06-01,Iqbal Qasim (PAK),255
1985-06-01,Manzoor Elahi (PAK),244
1985-06-01,Zakir Khan (PAK),236
1985-06-01,C.A. Walsh (WI),229
1985-06-01,M.W. Gatting (ENG),222
1985-06-01,Mohsin Kamal (PAK),217
1985-06-01,K. Azad (IND),214
1985-06-01,Javed Miandad (PAK),214
1985-06-01,Zaheer Abbas (PAK),204
1985-06-01,K.M. Curran (ZIM),201
1985-06-01,I.P. Butchart (ZIM),191
1985-06-01,Maninder Singh (IND),156
1985-06-01,G.K. Robertson (NZ),149
1985-06-01,R.S. Ghai (IND),148
1985-06-01,Salim Malik (PAK),125
1985-06-01,R.L. Dias (SL),124
1985-06-01,S. Wettimuny (SL),122
1985-06-01,R.J. Bright (AUS),118
1985-06-01,Mansoor Akhtar (PAK),112
1985-06-01,Naved Anjum (PAK),87
1985-06-01,M.A.R. Samarasekera (SL),81
1985-06-01,C.G. Greenidge (WI),78
1985-06-01,R.G.C.E. Wijesuriya (SL),74
1985-06-01,S. Jeganathan (SL),68
1985-06-01,N.G.B. Cook (ENG),66
1985-06-01,R.R. Kulkarni (IND),66
1985-06-01,A.H. Shah (ZIM),59
1985-06-01,Shoaib Mohammad (PAK),55
1985-06-01,M.R. Whitney (AUS),53
1985-06-01,K. Srikkanth (IND),51
1985-06-01,S.M. Gavaskar (IND),47
1985-06-01,D.L. Haynes (WI),47
1985-06-01,D.W. Hookes (AUS),46
1985-06-01,A.L. Logie (WI),33
1985-06-01,P.A. de Silva (SL),29
1985-06-01,W. Larkins (ENG),27
1985-06-01,K.R. Rutherford (NZ),27
1985-07-01,J. Garner (WI),940
1985-07-01,M.A. Holding (WI),856
1985-07-01,R.J. Hadlee (NZ),844
1985-07-01,Kapil Dev (IND),840
1985-07-01,G.F. Lawson (AUS),813
1985-07-01,M.D. Marshall (WI),801
1985-07-01,E.J. Chatfield (NZ),796
1985-07-01,Imran Khan (PAK),720
1985-07-01,Madan Lal (IND),709
1985-07-01,W.W. Davis (WI),698
1985-07-01,V.J. Marks (ENG),668
1985-07-01,R.J. Shastri (IND),662
1985-07-01,I.T. Botham (ENG),638
1985-07-01,Mudassar Nazar (PAK),617
1985-07-01,C.G. Rackemann (AUS),605
1985-07-01,J.V. Coney (NZ),594
1985-07-01,V.B. John (SL),592
1985-07-01,M.C. Snedden (NZ),569
1985-07-01,I.V.A. Richards (WI),566
1985-07-01,C.J. McDermott (AUS),563
1985-07-01,E.A.E. Baptiste (WI),545
1985-07-01,R.A. Harper (WI),544
1985-07-01,A.L.F. de Mel (SL),543
1985-07-01,R.M.H. Binny (IND),538
1985-07-01,R.J. Ratnayake (SL),536
1985-07-01,N.G. Cowans (ENG),534
1985-07-01,T.M. Alderman (AUS),530
1985-07-01,S.P. O'Donnell (AUS),525
1985-07-01,Tahir Naqqash (PAK),515
1985-07-01,Abdul Qadir (PAK),504
1985-07-01,M. Amarnath (IND),483
1985-07-01,J.R. Thomson (AUS),472
1985-07-01,P.H. Edmonds (ENG),469
1985-07-01,G.R. Dilley (ENG),426
1985-07-01,Sikander Bakht (PAK),417
1985-07-01,P.J.W. Allott (ENG),405
1985-07-01,N.A. Foster (ENG),402
1985-07-01,A. Ranatunga (SL),389
1985-07-01,H.A. Gomes (WI),365
1985-07-01,L. Sivaramakrishnan (IND),364
1985-07-01,Tauseef Ahmed (PAK),362
1985-07-01,P.W.E. Rawson (ZIM),359
1985-07-01,Ijaz Faqih (PAK),350
1985-07-01,C. Sharma (IND),348
1985-07-01,A.J. Traicos (SA),343
1985-07-01,D.R. Pringle (ENG),341
1985-07-01,S.L. Boock (NZ),333
1985-07-01,P. Willey (ENG),332
1985-07-01,G.R.J. Matthews (AUS),331
1985-07-01,Wasim Akram (PAK),327
1985-07-01,M. Prabhakar (IND),323
1985-07-01,S.H.U. Karnain (SL),322
1985-07-01,R.M. Ellison (ENG),320
1985-07-01,M.D. Crowe (NZ),313
1985-07-01,K.C. Wessels (AUS),307
1985-07-01,J.R. Ratnayeke (SL),306
1985-07-01,S.M. Patil (IND),304
1985-07-01,G.A. Gooch (ENG),302
1985-07-01,J.G. Bracewell (NZ),299
1985-07-01,A.R. Border (AUS),295
1985-07-01,K.H. Macleay (AUS),289
1985-07-01,E.E. Hemmings (ENG),256
1985-07-01,Iqbal Qasim (PAK),255
1985-07-01,J.E. Emburey (ENG),254
1985-07-01,Manzoor Elahi (PAK),244
1985-07-01,Zakir Khan (PAK),236
1985-07-01,C.A. Walsh (WI),229
1985-07-01,M.W. Gatting (ENG),222
1985-07-01,Mohsin Kamal (PAK),217
1985-07-01,Javed Miandad (PAK),214
1985-07-01,K. Azad (IND),214
1985-07-01,Zaheer Abbas (PAK),204
1985-07-01,K.M. Curran (ZIM),201
1985-07-01,I.P. Butchart (ZIM),191
1985-07-01,Maninder Singh (IND),156
1985-07-01,G.K. Robertson (NZ),149
1985-07-01,R.S. Ghai (IND),148
1985-07-01,Salim Malik (PAK),125
1985-07-01,R.L. Dias (SL),124
1985-07-01,S. Wettimuny (SL),122
1985-07-01,R.J. Bright (AUS),118
1985-07-01,Mansoor Akhtar (PAK),112
1985-07-01,Naved Anjum (PAK),87
1985-07-01,M.A.R. Samarasekera (SL),81
1985-07-01,C.G. Greenidge (WI),78
