,Charlton Athletic,Manchester City,Chelsea,West Ham United,Coventry City,Middlesbrough,Derby County,Southampton,Leeds United,Everton,Leicester City,Aston Villa,Liverpool,Bradford City,Sunderland,Arsenal,Tottenham Hotspur,Ipswich Town,Manchester United,Newcastle United
,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/CharltonBadge_30Jan2020.png/270px-CharltonBadge_30Jan2020.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/270px-Manchester_City_FC_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/240px-West_Ham_United_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Coventry_City_F.C._logo.png/270px-Coventry_City_F.C._logo.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Middlesbrough_FC_crest.svg/270px-Middlesbrough_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Derby_County_crest.svg/285px-Derby_County_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/FC_Southampton.svg/255px-FC_Southampton.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Leeds_United_F.C._logo.svg/240px-Leeds_United_F.C._logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Leicester_City_crest.svg/270px-Leicester_City_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Bradford_City_AFC.png/195px-Bradford_City_AFC.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Logo_Sunderland.svg/330px-Logo_Sunderland.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Ipswich_Town.svg/225px-Ipswich_Town.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png
2001-02-12,40,23,37,32,22,27,28,35,42,31,39,33,45,16,44,50,36,40,63,37
2001-02-24,41,26,37,35,23,27,31,38,45,31,42,33,45,16,44,50,36,43,63,37
2001-02-25,41,26,37,35,23,27,31,38,45,31,42,33,45,16,44,50,36,43,66,37
2001-03-03,42,26,38,35,24,28,34,41,46,32,45,33,45,16,44,53,36,43,67,38
2001-03-04,42,26,38,35,24,28,34,41,46,32,45,33,45,16,44,53,36,46,67,38
2001-03-05,42,26,38,35,24,28,34,41,46,32,45,34,45,16,45,53,36,46,67,38
2001-03-07,42,26,41,35,24,28,34,41,46,32,45,34,45,16,45,53,36,46,67,38
2001-03-10,42,26,41,35,24,28,34,41,46,32,45,37,45,16,45,53,36,46,67,38
2001-03-17,42,27,41,35,24,31,34,44,49,32,45,37,45,17,48,53,39,49,70,38
2001-03-18,42,27,41,35,24,31,35,44,49,32,45,38,46,17,48,54,39,49,70,38
2001-03-31,45,27,44,35,27,31,35,44,52,35,45,41,49,18,48,57,39,49,70,39
2001-04-02,45,27,44,35,27,31,35,44,52,35,45,41,49,18,48,57,39,52,70,39
2001-04-04,45,27,44,35,27,31,35,44,52,35,45,44,49,18,48,57,39,52,70,39
2001-04-07,45,27,47,36,30,31,35,44,55,35,45,45,49,18,48,57,39,52,70,39
2001-04-08,45,27,47,36,30,32,35,44,55,38,45,45,49,18,49,57,39,52,70,39
2001-04-10,45,27,47,36,30,32,35,44,55,38,45,45,50,18,49,57,42,53,73,39
2001-04-11,45,27,47,36,30,32,35,44,55,38,45,45,50,18,49,60,42,53,73,39
2001-04-13,45,27,47,36,30,32,35,44,58,38,45,45,50,21,49,60,42,53,73,39
2001-04-14,45,30,50,39,30,35,35,44,58,38,45,48,50,21,49,60,45,56,76,39
2001-04-16,45,30,50,39,33,35,38,44,58,38,45,48,53,21,49,60,45,59,76,42
2001-04-17,46,30,53,39,33,35,38,44,58,38,45,49,53,21,49,60,45,59,76,42
2001-04-21,49,31,53,39,33,38,38,45,61,38,45,50,53,24,50,63,45,62,77,43
2001-04-22,49,31,53,39,33,38,38,45,61,38,45,50,56,24,50,63,45,62,77,43
2001-04-28,49,34,53,39,33,38,38,45,64,41,45,51,59,24,53,66,46,62,80,46
2001-04-30,52,34,53,39,33,38,38,45,64,41,45,51,59,24,53,66,46,62,80,46
2001-05-01,52,34,53,39,33,38,38,46,64,41,45,51,62,24,53,66,46,62,80,47
2001-05-05,52,34,56,42,33,39,41,46,64,41,48,54,65,25,56,69,46,62,80,47
2001-05-07,52,34,56,42,33,39,41,46,64,41,48,54,65,25,56,69,46,65,80,47
2001-05-08,52,34,57,42,33,39,41,46,64,41,48,54,66,25,56,69,46,65,80,47
2001-05-13,52,34,57,42,33,39,41,49,67,41,48,54,66,25,56,69,46,65,80,47
2001-05-15,52,34,57,42,33,39,41,49,67,41,48,54,66,25,56,70,46,65,80,48
2001-05-19,52,34,60,42,34,42,42,52,70,42,48,54,69,26,57,70,49,66,80,51
