web-scraper-order,web-scraper-start-url,selector1
"1657196981-678","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-559","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-208","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-796","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-437","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","3"
"1657196981-337","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Blackburn"
"1657196981-179","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-797","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-254","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Man Utd"
"1657196981-315","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","26.04. 12:30"
"1657196981-454","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(2)"
"1657196981-342","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-253","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Tottenham"
"1657196981-343","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","21.04. 15:00"
"1657196981-622","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-580","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-423","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","3"
"1657196981-535","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-236","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-595","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","24.03. 20:00"
"1657196981-192","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","0"
"1657196981-319","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-190","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Southampton"
"1657196981-587","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-503","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-197","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Aston Villa"
"1657196981-259","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","27.04. 14:00"
"1657196981-829","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-575","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Tottenham"
"1657196981-608","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
