,Kaiserslautern,Monchengladbach,Uerdingen,Homburg,Bayern,Nurnberg,Bochum,FC Koln,Dusseldorf,Hamburger SV,Frankfurt,Mannheim,Leverkusen,Dortmund,St. Pauli,Bremen,Stuttgart,Karlsruher
1989-10-13,12,14,14,13,24,20,14,25,11,18,20,19,23,20,11,15,21,8
1989-10-14,13,14,15,16,27,21,14,26,11,18,21,19,24,20,12,15,21,9
1989-10-20,14,14,15,16,27,21,14,26,11,18,21,19,24,20,13,15,21,9
1989-10-21,14,14,15,16,27,22,15,26,14,21,24,19,27,20,13,18,24,12
1989-10-27,14,14,15,16,30,22,15,26,14,21,24,19,27,20,13,21,24,12
1989-10-28,14,14,15,16,30,22,18,29,15,21,27,19,28,23,13,21,27,15
1989-11-03,14,14,15,16,30,22,21,29,16,21,27,20,29,23,14,21,27,15
1989-11-04,15,14,16,16,31,23,21,32,16,21,28,20,29,24,14,22,30,16
1989-11-17,16,14,16,16,31,24,21,32,16,21,28,20,29,24,17,22,30,16
1989-11-18,16,14,19,19,32,24,21,32,16,21,31,23,30,25,17,23,30,19
1989-11-23,16,14,19,19,32,24,21,32,16,21,31,23,31,26,17,23,30,19
1989-11-25,16,17,22,19,32,27,21,35,16,24,32,24,31,26,17,26,30,22
1989-11-30,16,17,22,19,32,27,21,35,16,24,32,24,31,26,20,26,30,22
1989-12-01,16,17,22,19,32,27,24,35,16,24,32,24,34,26,20,26,30,22
1989-12-02,19,17,25,19,35,27,24,35,19,24,35,24,34,26,20,26,33,22
1989-12-08,19,18,25,19,35,27,24,35,19,24,35,24,35,26,20,26,33,22
1989-12-09,20,18,28,19,38,27,27,35,19,24,38,27,35,29,23,26,33,23
1989-12-14,20,18,28,19,38,27,28,35,19,24,39,27,35,29,23,26,33,23
1989-12-15,20,18,28,19,38,27,28,35,20,24,39,27,35,30,23,26,33,23
1989-12-16,20,18,28,19,41,27,28,38,20,24,39,30,35,30,26,29,36,23
1990-02-17,20,18,28,19,41,27,28,38,20,24,39,30,38,30,26,29,36,23
1990-02-23,20,18,28,19,42,27,28,39,20,24,39,30,38,30,29,29,36,23
1990-02-24,20,21,28,19,42,27,28,39,23,27,42,33,38,30,29,29,36,26
1990-03-02,20,21,28,20,42,27,28,39,23,27,42,33,38,30,30,30,36,27
1990-03-03,20,21,29,20,45,28,28,42,24,30,43,33,38,33,30,30,39,27
1990-03-09,20,24,29,21,45,28,28,42,24,30,43,33,38,34,30,30,39,27
1990-03-10,21,24,29,21,48,28,31,45,24,30,44,34,39,34,30,30,42,30
1990-03-15,21,24,29,21,48,28,31,45,24,30,44,34,39,34,33,30,42,30
1990-03-16,21,24,29,21,48,28,31,45,24,30,44,34,39,34,33,33,42,30
1990-03-17,24,27,32,21,51,31,31,45,24,30,44,34,42,37,33,33,42,30
1990-03-23,24,30,32,21,51,31,31,45,24,30,44,34,45,37,33,33,42,30
1990-03-24,27,30,32,21,52,32,32,46,27,31,44,35,45,38,34,34,42,31
1990-03-30,27,30,32,21,52,32,32,46,30,31,44,35,45,41,34,34,42,31
1990-03-31,30,31,32,21,55,33,32,47,30,31,45,35,48,41,35,37,42,32
1990-04-06,33,31,32,21,55,33,33,47,30,31,45,35,48,41,36,37,42,32
1990-04-07,33,31,33,24,56,34,33,50,30,32,48,36,49,42,36,37,43,32
1990-04-11,33,31,33,24,56,34,33,50,30,32,49,36,49,43,36,37,43,32
1990-04-12,33,34,34,24,59,37,34,53,31,32,49,36,50,43,37,38,44,33
1990-04-16,33,34,34,24,59,37,34,53,31,32,49,36,50,46,37,38,44,33
1990-04-20,36,34,37,24,59,37,34,53,31,32,49,36,50,46,37,38,44,33
1990-04-21,36,34,37,27,60,37,34,53,32,35,52,36,50,49,37,38,47,36
1990-04-27,39,34,37,27,60,37,34,53,32,38,52,36,50,49,37,38,47,36
1990-04-28,39,37,38,27,61,40,34,54,33,38,52,36,51,52,37,39,47,39
1990-05-01,40,37,38,28,61,40,37,57,33,38,53,36,51,52,37,40,50,39
1990-05-02,40,37,38,28,64,40,37,57,36,41,53,36,51,55,37,40,50,39
1990-05-05,41,40,39,31,65,41,37,60,39,41,53,36,51,56,40,41,50,42
1990-05-12,41,41,40,32,68,44,40,60,42,44,56,36,51,56,40,44,51,42
