Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,Sri Lanka
Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,13 runs,Mirpur,2/17/2014,ODI # 3469,3469,Bangladesh,Sri Lanka
Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,61 runs,Mirpur,2/20/2014,ODI # 3470,3470,Bangladesh,Sri Lanka
Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,6 wickets,Mirpur,2/22/2014,ODI # 3471,3471,Bangladesh,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,12 runs,Fatullah,2/25/2014,ODI # 3473,3473,Bangladesh,Sri Lanka
India,Sri Lanka,Sri Lanka,India,2 wickets,Fatullah,2/28/2014,ODI # 3476,3476,Bangladesh,Sri Lanka
Afghanistan,Sri Lanka,Sri Lanka,Afghanistan,129 runs,Mirpur,3/3/2014,ODI # 3481,3481,Bangladesh,Sri Lanka
Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,3 wickets,Mirpur,3/6/2014,ODI # 3485,3485,Bangladesh,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,5 wickets,Mirpur,3/8/2014,ODI # 3486,3486,Bangladesh,Sri Lanka
Ireland,Sri Lanka,Sri Lanka,Ireland,79 runs,Dublin,5/6/2014,ODI # 3490,3490,Ireland,Sri Lanka
England,Sri Lanka,England,Sri Lanka,81 runs,The Oval,5/22/2014,ODI # 3492,3492,England,Sri Lanka
England,Sri Lanka,Sri Lanka,England,157 runs,Chester-le-Street,5/25/2014,ODI # 3493,3493,England,Sri Lanka
England,Sri Lanka,England,Sri Lanka,10 wickets,Manchester,5/28/2014,ODI # 3494,3494,England,Sri Lanka
England,Sri Lanka,Sri Lanka,England,7 runs,Lord's,5/31/2014,ODI # 3495,3495,England,Sri Lanka
England,Sri Lanka,Sri Lanka,England,6 wickets,Birmingham,6/3/2014,ODI # 3496,3496,England,Sri Lanka
Sri Lanka,South Africa,South Africa,Sri Lanka,75 runs,Colombo (RPS),7/6/2014,ODI # 3500,3500,Sri Lanka,Sri Lanka
Sri Lanka,South Africa,Sri Lanka,South Africa,87 runs,Pallekele,7/9/2014,ODI # 3501,3501,Sri Lanka,Sri Lanka
Sri Lanka,South Africa,South Africa,Sri Lanka,82 runs,Hambantota,7/12/2014,ODI # 3502,3502,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Pakistan,Sri Lanka,4 wickets,Hambantota,8/23/2014,ODI # 3512,3512,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Sri Lanka,Pakistan,77 runs,Hambantota,8/26/2014,ODI # 3515,3515,Sri Lanka,Sri Lanka
