,Australia,England,New Zealand,Pakistan,West Indies,India,Sri Lanka,South Africa,Zimbabwe,Bangladesh,Ireland,Canada,Scotland,Afghanistan,Netherlands,East Africa,U.A.E.,Kenya,Namibia
2000-02-16,32,148,26,27,27,19,13,7,4,0,0,1,0,0,1,1,1,1,0
2000-02-18,32,148,26,27,27,19,13,7,5,0,0,1,0,0,1,1,1,1,0
2000-02-20,32,148,26,27,27,19,13,7,6,0,0,1,0,0,1,1,1,1,0
2000-07-08,32,149,26,27,27,19,13,7,6,0,0,1,0,0,1,1,1,1,0
2000-07-09,32,150,26,27,27,19,13,7,6,0,0,1,0,0,1,1,1,1,0
2000-07-13,32,150,26,27,27,19,13,7,7,0,0,1,0,0,1,1,1,1,0
2000-07-15,32,150,26,27,28,19,13,7,7,0,0,1,0,0,1,1,1,1,0
2000-07-18,32,150,26,27,28,19,13,7,8,0,0,1,0,0,1,1,1,1,0
2000-07-20,32,151,26,27,28,19,13,7,8,0,0,1,0,0,1,1,1,1,0
2000-07-22,32,151,26,27,28,19,13,7,9,0,0,1,0,0,1,1,1,1,0
2000-10-05,32,151,26,27,28,19,13,7,9,1,0,1,0,0,1,1,1,1,0
2000-10-10,32,152,26,27,28,19,13,7,9,1,0,1,0,0,1,1,1,1,0
2000-10-24,32,152,26,28,28,19,13,7,9,1,0,1,0,0,1,1,1,1,0
2000-10-27,32,153,26,28,28,19,13,7,9,1,0,1,0,0,1,1,1,1,0
2000-10-30,32,154,26,28,28,19,13,7,9,1,0,1,0,0,1,1,1,1,0
2001-03-23,32,155,26,28,28,19,13,7,9,1,0,1,0,0,1,1,1,1,0
2001-03-25,32,156,26,28,28,19,13,7,9,1,0,1,0,0,1,1,1,1,0
2001-03-27,32,157,26,28,28,19,13,7,9,1,0,1,0,0,1,1,1,1,0
2001-06-07,32,158,26,28,28,19,13,7,9,1,0,1,0,0,1,1,1,1,0
2001-06-10,32,159,26,28,28,19,13,7,9,1,0,1,0,0,1,1,1,1,0
