Team1,Team2,Winner,Result,Venue,Date,MatchNumber
New Zealand,Pakistan,Pakistan,7 runs,Dubai (DSC),2009-11-13,T20I # 123
South Africa,England,England,1 run,Johannesburg,2009-11-13,T20I # 124
South Africa,England,South Africa,84 runs,Centurion,2009-11-15,T20I # 125
India,Sri Lanka,Sri Lanka,29 runs,Nagpur,2009-12-09,T20I # 126
India,Sri Lanka,India,6 wickets,Mohali,2009-12-12,T20I # 127
Afghanistan,Ireland,Ireland,5 wickets,Colombo (PSS),2010-02-01,T20I # 128
Kenya,Scotland,Kenya,10 wickets,Nairobi (Gym),2010-02-01,T20I # 129
Canada,Ireland,Canada,4 runs,Colombo (SSC),2010-02-03,T20I # 130
New Zealand,Bangladesh,New Zealand,10 wickets,Hamilton,2010-02-03,T20I # 131
Afghanistan,Canada,Afghanistan,5 wickets,Colombo (SSC),2010-02-04,T20I # 132
Kenya,Scotland,Kenya,10 wickets,Nairobi (Gym),2010-02-04,T20I # 133
Australia,Pakistan,Australia,2 runs,Melbourne,2010-02-05,T20I # 134
Afghanistan,Ireland,Afghanistan,13 runs,Dubai (DSC),2010-02-09,T20I # 135
Canada,Netherlands,Netherlands,6 wickets,Dubai (DSC),2010-02-09,T20I # 136
Afghanistan,Scotland,Afghanistan,14 runs,Abu Dhabi,2010-02-10,T20I # 137
Canada,Kenya,Kenya,9 wickets,Dubai (DSC),2010-02-10,T20I # 138
Kenya,Netherlands,Netherlands,7 wickets,Abu Dhabi,2010-02-11,T20I # 139
Ireland,Scotland,Ireland,37 runs,Dubai (DSC),2010-02-11,T20I # 140
Afghanistan,Netherlands,Netherlands,4 wickets,Dubai (DSC),2010-02-12,T20I # 141
Ireland,Netherlands,Ireland,65 runs,Dubai (DSC),2010-02-13,T20I # 142
Afghanistan,Ireland,Afghanistan,8 wickets,Dubai (DSC),2010-02-13,T20I # 143
England,Pakistan,England,7 wickets,Dubai (DSC),2010-02-19,T20I # 144
England,Pakistan,Pakistan,4 wickets,Dubai (DSC),2010-02-20,T20I # 145
Australia,West Indies,Australia,38 runs,Hobart,2010-02-21,T20I # 146
Australia,West Indies,Australia,8 wickets,Sydney,2010-02-23,T20I # 147
New Zealand,Australia,Australia,6 wickets,Wellington,2010-02-26,T20I # 148
New Zealand,Australia,tied,,Christchurch,2010-02-28,T20I # 149
West Indies,Zimbabwe,Zimbabwe,26 runs,Port of Spain,2010-02-28,T20I # 150
New Zealand,Sri Lanka,New Zealand,2 wickets,Providence,2010-04-30,T20I # 151
West Indies,Ireland,West Indies,70 runs,Providence,2010-04-30,T20I # 152
Afghanistan,India,India,7 wickets,Gros Islet,2010-05-01,T20I # 153
Bangladesh,Pakistan,Pakistan,21 runs,Gros Islet,2010-05-01,T20I # 154
India,South Africa,India,14 runs,Gros Islet,2010-05-02,T20I # 155
Australia,Pakistan,Australia,34 runs,Gros Islet,2010-05-02,T20I # 156
Sri Lanka,Zimbabwe,Sri Lanka,14 runs,Providence,2010-05-03,T20I # 157
