Team1,Team2,Winner,Result,Venue,Date,MatchNumber
Afghanistan,Bangladesh,Afghanistan,6 wickets,Dehradun,2018-06-05,T20I # 668
Afghanistan,Bangladesh,Afghanistan,1 run,Dehradun,2018-06-07,T20I # 669
Netherlands,Ireland,Netherlands,4 runs,Rotterdam,2018-06-12,T20I # 670
Scotland,Pakistan,Pakistan,48 runs,Edinburgh,2018-06-12,T20I # 671
Netherlands,Ireland,Netherlands,4 wickets,Rotterdam,2018-06-13,T20I # 672
Scotland,Pakistan,Pakistan,84 runs,Edinburgh,2018-06-13,T20I # 673
Ireland,Scotland,Ireland,46 runs,Deventer,2018-06-16,T20I # 674
Ireland,Scotland,tied,,Deventer,2018-06-17,T20I # 675
Netherlands,Scotland,Scotland,7 wickets,Amstelveen,2018-06-19,T20I # 676
Netherlands,Scotland,Scotland,115 runs,Amstelveen,2018-06-20,T20I # 677
Ireland,India,India,76 runs,Dublin (Malahide),2018-06-27,T20I # 678
England,Australia,England,28 runs,Birmingham,2018-06-27,T20I # 679
Ireland,India,India,143 runs,Dublin (Malahide),2018-06-29,T20I # 680
Zimbabwe,Pakistan,Pakistan,74 runs,Harare,2018-07-01,T20I # 681
Australia,Pakistan,Australia,9 wickets,Harare,2018-07-02,T20I # 682
Zimbabwe,Australia,Australia,100 runs,Harare,2018-07-03,T20I # 683
England,India,India,8 wickets,Manchester,2018-07-03,T20I # 684
Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,2018-07-04,T20I # 685
Australia,Pakistan,Pakistan,45 runs,Harare,2018-07-05,T20I # 686
Zimbabwe,Australia,Australia,5 wickets,Harare,2018-07-06,T20I # 687
England,India,England,5 wickets,Cardiff,2018-07-06,T20I # 688
Australia,Pakistan,Pakistan,6 wickets,Harare,2018-07-08,T20I # 689
England,India,India,7 wickets,Bristol,2018-07-08,T20I # 690
Nepal,Netherlands,no result,,Lord's,2018-07-29,T20I # 691
West Indies,Bangladesh,West Indies,7 wickets,Basseterre,2018-07-31,T20I # 692
Bangladesh,West Indies,Bangladesh,12 runs,Lauderhill,2018-08-04,T20I # 693
Bangladesh,West Indies,Bangladesh,19 runs,Lauderhill,2018-08-05,T20I # 694
Sri Lanka,South Africa,Sri Lanka,3 wickets,Colombo (RPS),2018-08-14,T20I # 695
Ireland,Afghanistan,Afghanistan,16 runs,Bready,2018-08-20,T20I # 696
Ireland,Afghanistan,Afghanistan,81 runs,Bready,2018-08-22,T20I # 697
South Africa,Zimbabwe,South Africa,34 runs,East London,2018-10-09,T20I # 698
South Africa,Zimbabwe,South Africa,6 wickets,Potchefstroom,2018-10-12,T20I # 699
U.A.E.,Australia,Australia,7 wickets,Tolerance Oval,2018-10-22,T20I # 700
Australia,Pakistan,Pakistan,66 runs,Abu Dhabi,2018-10-24,T20I # 701
Australia,Pakistan,Pakistan,11 runs,Dubai (DSC),2018-10-26,T20I # 702
Sri Lanka,England,England,30 runs,Colombo (RPS),2018-10-27,T20I # 703
Australia,Pakistan,Pakistan,33 runs,Dubai (DSC),2018-10-28,T20I # 704
New Zealand,Pakistan,Pakistan,2 runs,Abu Dhabi,2018-10-31,T20I # 705
New Zealand,Pakistan,Pakistan,6 wickets,Dubai (DSC),2018-11-02,T20I # 706
India,West Indies,India,5 wickets,Eden Gardens,2018-11-04,T20I # 707
New Zealand,Pakistan,Pakistan,47 runs,Dubai (DSC),2018-11-04,T20I # 708
India,West Indies,India,71 runs,Lucknow,2018-11-06,T20I # 709
India,West Indies,India,6 wickets,Chennai,2018-11-11,T20I # 710
Australia,South Africa,South Africa,21 runs,Carrara,2018-11-17,T20I # 711
Australia,India,Australia,4 runs,Brisbane,2018-11-21,T20I # 712
Australia,India,no result,,Melbourne,2018-11-23,T20I # 713
Australia,India,India,6 wickets,Sydney,2018-11-25,T20I # 714
Bangladesh,West Indies,West Indies,8 wickets,Sylhet,2018-12-17,T20I # 715
Bangladesh,West Indies,Bangladesh,36 runs,Mirpur,2018-12-20,T20I # 716
Bangladesh,West Indies,West Indies,50 runs,Mirpur,2018-12-22,T20I # 717
New Zealand,Sri Lanka,New Zealand,35 runs,Auckland,2019-01-11,T20I # 718
Bahrain,Saudi Arabia,Bahrain,41 runs,Al Amerat,2019-01-20,T20I # 719
Kuwait,Maldives,Kuwait,8 wickets,Al Amerat,2019-01-20,T20I # 720
Bahrain,Maldives,Bahrain,2 wickets,Al Amerat,2019-01-21,T20I # 721
Qatar,Saudi Arabia,Qatar,4 wickets,Al Amerat,2019-01-21,T20I # 722
Kuwait,Qatar,tied,,Al Amerat,2019-01-22,T20I # 723
Maldives,Saudi Arabia,Saudi Arabia,6 wickets,Al Amerat,2019-01-22,T20I # 724
Maldives,Qatar,Qatar,8 wickets,Al Amerat,2019-01-23,T20I # 725
Bahrain,Kuwait,Kuwait,7 wickets,Al Amerat,2019-01-23,T20I # 726
Kuwait,Saudi Arabia,Saudi Arabia,7 wickets,Al Amerat,2019-01-24,T20I # 727
Bahrain,Qatar,Qatar,48 runs,Al Amerat,2019-01-24,T20I # 728
Qatar,Saudi Arabia,Saudi Arabia,8 wickets,Al Amerat,2019-01-24,T20I # 729
U.A.E.,Nepal,U.A.E.,21 runs,ICCA Dubai,2019-01-31,T20I # 730
U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,2019-02-01,T20I # 731
South Africa,Pakistan,South Africa,6 runs,Cape Town,2019-02-01,T20I # 732
U.A.E.,Nepal,Nepal,14 runs,ICCA Dubai,2019-02-03,T20I # 733
South Africa,Pakistan,South Africa,7 runs,Johannesburg,2019-02-03,T20I # 734
New Zealand,India,New Zealand,80 runs,Wellington,2019-02-06,T20I # 735
South Africa,Pakistan,Pakistan,27 runs,Centurion,2019-02-06,T20I # 736
New Zealand,India,India,7 wickets,Auckland,2019-02-08,T20I # 737
New Zealand,India,New Zealand,4 runs,Hamilton,2019-02-10,T20I # 738
Netherlands,Scotland,Netherlands,7 wickets,Al Amerat,2019-02-13,T20I # 739
Oman,Ireland,Ireland,15 runs,Al Amerat,2019-02-13,T20I # 740
Oman,Netherlands,Netherlands,8 wickets,Al Amerat,2019-02-15,T20I # 741
Ireland,Scotland,Scotland,6 wickets,Al Amerat,2019-02-15,T20I # 742
Ireland,Netherlands,Ireland,1 wicket,Al Amerat,2019-02-17,T20I # 743
Oman,Scotland,Scotland,7 wickets,Al Amerat,2019-02-17,T20I # 744
Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun,2019-02-21,T20I # 745
Afghanistan,Ireland,Afghanistan,84 runs,Dehradun,2019-02-23,T20I # 746
Afghanistan,Ireland,Afghanistan,32 runs,Dehradun,2019-02-24,T20I # 747
India,Australia,Australia,3 wickets,Visakhapatnam,2019-02-24,T20I # 748
India,Australia,Australia,7 wickets,Bengaluru,2019-02-27,T20I # 749
West Indies,England,England,4 wickets,Gros Islet,2019-03-05,T20I # 750
West Indies,England,England,137 runs,Basseterre,2019-03-08,T20I # 751
West Indies,England,England,8 wickets,Basseterre,2019-03-10,T20I # 752
U.A.E.,U.S.A.,no result,,ICCA Dubai,2019-03-15,T20I # 753
U.A.E.,U.S.A.,U.A.E.,24 runs,ICCA Dubai,2019-03-16,T20I # 754
South Africa,Sri Lanka,tied,,Cape Town,2019-03-19,T20I # 755
P.N.G.,Philippines,P.N.G.,133 runs,Port Moresby,2019-03-22,T20I # 756
P.N.G.,Vanuatu,P.N.G.,8 wickets,Port Moresby,2019-03-22,T20I # 757
South Africa,Sri Lanka,South Africa,16 runs,Centurion,2019-03-22,T20I # 758
Philippines,Vanuatu,Vanuatu,63 runs,Port Moresby,2019-03-23,T20I # 759
P.N.G.,Philippines,no result,,Port Moresby,2019-03-23,T20I # 760
Philippines,Vanuatu,Philippines,10 runs,Port Moresby,2019-03-24,T20I # 761
P.N.G.,Vanuatu,P.N.G.,10 wickets,Port Moresby,2019-03-24,T20I # 762
South Africa,Sri Lanka,South Africa,45 runs,Johannesburg,2019-03-24,T20I # 763
Spain,Malta,Spain,7 wickets,Cartagena,2019-03-29,T20I # 764
Spain,Malta,Spain,109 runs,Cartagena,2019-03-30,T20I # 765
Mexico,Belize,Belize,4 wickets,Naucalpan,2019-04-25,T20I # 766
Costa Rica,Panama,Panama,7 wickets,Naucalpan,2019-04-25,T20I # 767
Mexico,Costa Rica,Mexico,3 wickets,Naucalpan,2019-04-26,T20I # 768
Belize,Panama,Belize,9 runs,Naucalpan,2019-04-26,T20I # 769
Belize,Costa Rica,Belize,5 wickets,Naucalpan,2019-04-27,T20I # 771
Mexico,Panama,Panama,33 runs,Naucalpan,2019-04-27,T20I # 770
England,Pakistan,England,7 wickets,Cardiff,2019-05-05,T20I # 772
Belgium,Germany,Germany,9 runs,Waterloo,2019-05-11,T20I # 773
Belgium,Germany,Germany,62 runs,Waterloo,2019-05-11,T20I # 774
Belgium,Germany,Germany,6 wickets,Waterloo,2019-05-12,T20I # 775
Kenya,Nigeria,Kenya,8 wickets,Kampala,2019-05-20,T20I # 776
Ghana,Namibia,Namibia,9 wickets,Kampala,2019-05-20,T20I # 777
Uganda,Botswana,Uganda,52 runs,Kampala,2019-05-20,T20I # 778
Uganda,Namibia,Namibia,42 runs,Kampala,2019-05-21,T20I # 779
Botswana,Nigeria,Nigeria,11 runs,Kampala,2019-05-21,T20I # 780
Ghana,Kenya,Kenya,53 runs,Kampala,2019-05-21,T20I # 781
Ghana,Nigeria,Nigeria,28 runs,Kampala,2019-05-22,T20I # 782
Botswana,Namibia,Namibia,10 wickets,Kampala,2019-05-22,T20I # 783
Uganda,Kenya,Kenya,1 run,Kampala,2019-05-22,T20I # 784
Uganda,Ghana,Uganda,7 wickets,Kampala,2019-05-23,T20I # 785
Germany,Italy,Italy,7 wickets,Utrecht,2019-05-25,T20I # 786
Germany,Italy,Italy,6 wickets,Utrecht,2019-05-25,T20I # 787
Guernsey,Jersey,tied,,St Peter Port,2019-05-31,T20I # 788
Guernsey,Jersey,Jersey,41 runs,Castel,2019-06-01,T20I # 789
Guernsey,Jersey,Jersey,76 runs,Castel,2019-06-01,T20I # 790
Guernsey,Jersey,Jersey,8 wickets,Castel,2019-06-15,T20I # 791
Italy,Norway,Italy,20 runs,St Peter Port,2019-06-15,T20I # 792
Guernsey,Germany,Germany,5 wickets,Castel,2019-06-15,T20I # 793
Germany,Italy,Italy,5 wickets,St Peter Port,2019-06-16,T20I # 794
Denmark,Jersey,Jersey,18 runs,Castel,2019-06-16,T20I # 795
Guernsey,Italy,Italy,11 runs,St Peter Port,2019-06-16,T20I # 796
Jersey,Norway,Jersey,80 runs,Castel,2019-06-16,T20I # 797
Denmark,Norway,Denmark,46 runs,Castel,2019-06-17,T20I # 798
Guernsey,Denmark,no result,,Castel,2019-06-18,T20I # 799
Denmark,Italy,no result,,Castel,2019-06-18,T20I # 800
Guernsey,Norway,Guernsey,4 wickets,Castel,2019-06-19,T20I # 801
Italy,Jersey,Jersey,73 runs,St Peter Port,2019-06-19,T20I # 802
Denmark,Germany,Germany,7 wickets,Castel,2019-06-19,T20I # 803
Guernsey,Denmark,Guernsey,6 runs,Castel,2019-06-20,T20I # 804
Germany,Norway,Germany,7 wickets,St Peter Port,2019-06-20,T20I # 805
Denmark,Italy,Denmark,30 runs,Castel,2019-06-20,T20I # 806
Germany,Jersey,Germany,3 wickets,St Peter Port,2019-06-20,T20I # 807
Netherlands,Zimbabwe,Netherlands,49 runs,Rotterdam,2019-06-23,T20I # 808
Malaysia,Thailand,Malaysia,5 wickets,Kuala Lumpur,2019-06-24,T20I # 809
Malaysia,Maldives,Malaysia,73 runs,Kuala Lumpur,2019-06-25,T20I # 810
Netherlands,Zimbabwe,tied,,Rotterdam,2019-06-25,T20I # 811
Maldives,Thailand,Maldives,2 wickets,Kuala Lumpur,2019-06-26,T20I # 812
Malaysia,Thailand,Malaysia,8 wickets,Kuala Lumpur,2019-06-27,T20I # 813
Malaysia,Maldives,no result,,Kuala Lumpur,2019-06-28,T20I # 814
Maldives,Thailand,Thailand,5 wickets,Kuala Lumpur,2019-06-29,T20I # 815
Qatar,Kuwait,Kuwait,7 wickets,Doha,2019-07-04,T20I # 816
Qatar,Kuwait,tied,,Doha,2019-07-05,T20I # 817
Qatar,Kuwait,Qatar,3 wickets,Doha,2019-07-06,T20I # 818
Samoa,P.N.G.,P.N.G.,9 wickets,Apia (No 1),2019-07-08,T20I # 819
P.N.G.,Vanuatu,P.N.G.,3 wickets,Apia (No 3),2019-07-09,T20I # 820
Samoa,Vanuatu,Samoa,2 wickets,Apia (No 1),2019-07-09,T20I # 821
Samoa,P.N.G.,P.N.G.,7 wickets,Apia (No 2),2019-07-10,T20I # 822
Samoa,Vanuatu,Vanuatu,32 runs,Apia (No 3),2019-07-12,T20I # 823
P.N.G.,Vanuatu,P.N.G.,59 runs,Apia (No 2),2019-07-12,T20I # 824
Ireland,Zimbabwe,Ireland,9 wickets,Bready,2019-07-12,T20I # 825
P.N.G.,Vanuatu,P.N.G.,32 runs,Apia (No 2),2019-07-13,T20I # 826
Malaysia,Nepal,Nepal,7 wickets,Kuala Lumpur,2019-07-13,T20I # 827
Denmark,Finland,Denmark,1 run,Brondby,2019-07-13,T20I # 828
Denmark,Finland,Denmark,38 runs,Brondby,2019-07-13,T20I # 829
Malaysia,Nepal,Nepal,6 runs,Kuala Lumpur,2019-07-14,T20I # 830
Ireland,Zimbabwe,Zimbabwe,8 wickets,Bready,2019-07-14,T20I # 831
Singapore,Qatar,Singapore,33 runs,Singapore,2019-07-22,T20I # 832
Kuwait,Malaysia,Malaysia,42 runs,Singapore,2019-07-22,T20I # 833
Nepal,Qatar,Qatar,4 wickets,Singapore,2019-07-23,T20I # 834
Malaysia,Nepal,Nepal,7 wickets,Singapore,2019-07-24,T20I # 835
Kuwait,Qatar,Kuwait,10 runs,Singapore,2019-07-26,T20I # 836
Singapore,Malaysia,Singapore,8 wickets,Singapore,2019-07-26,T20I # 837
Kuwait,Nepal,Nepal,7 wickets,Singapore,2019-07-27,T20I # 838
Malaysia,Qatar,Qatar,4 wickets,Singapore,2019-07-27,T20I # 839
Singapore,Nepal,Singapore,82 runs,Singapore,2019-07-28,T20I # 840
Netherlands,U.A.E.,U.A.E.,13 runs,Amstelveen,2019-08-03,T20I # 841
India,West Indies,India,4 wickets,Lauderhill,2019-08-03,T20I # 842
India,West Indies,India,22 runs,Lauderhill,2019-08-04,T20I # 843
Netherlands,U.A.E.,U.A.E.,5 wickets,Amstelveen,2019-08-05,T20I # 844
Netherlands,U.A.E.,U.A.E.,14 runs,The Hague,2019-08-06,T20I # 845
West Indies,India,India,7 wickets,Providence,2019-08-06,T20I # 846
Netherlands,U.A.E.,U.A.E.,7 wickets,The Hague,2019-08-08,T20I # 847
Finland,Spain,Finland,82 runs,Kerava,2019-08-17,T20I # 848
Finland,Spain,Spain,6 wickets,Kerava,2019-08-17,T20I # 849
Finland,Spain,Spain,4 wickets,Kerava,2019-08-18,T20I # 850
Bermuda,U.S.A.,Bermuda,6 runs,Sandys Parish,2019-08-18,T20I # 851
Canada,Cayman Is,Canada,84 runs,Sandys Parish,2019-08-18,T20I # 852
Namibia,Botswana,Namibia,93 runs,Windhoek,2019-08-19,T20I # 853
Bermuda,Canada,no result,,Hamilton,2019-08-19,T20I # 854
Cayman Is,U.S.A.,U.S.A.,10 runs,Hamilton,2019-08-19,T20I # 855
Namibia,Botswana,Namibia,124 runs,Windhoek,2019-08-20,T20I # 856
Bermuda,Cayman Is,Bermuda,6 wickets,Sandys Parish,2019-08-21,T20I # 857
Canada,U.S.A.,Canada,4 wickets,Sandys Parish,2019-08-21,T20I # 858
Namibia,Botswana,Namibia,78 runs,Windhoek,2019-08-22,T20I # 859
Canada,Cayman Is,Canada,8 wickets,Sandys Parish,2019-08-22,T20I # 860
Bermuda,U.S.A.,Bermuda,4 wickets,Sandys Parish,2019-08-22,T20I # 861
Namibia,Botswana,Namibia,8 wickets,Windhoek,2019-08-23,T20I # 862
Cayman Is,U.S.A.,U.S.A.,9 wickets,Sandys Parish,2019-08-24,T20I # 863
Bermuda,Canada,Canada,8 wickets,Sandys Parish,2019-08-24,T20I # 864
Canada,U.S.A.,Canada,15 runs,Sandys Parish,2019-08-25,T20I # 865
Bermuda,Cayman Is,Bermuda,6 wickets,Sandys Parish,2019-08-25,T20I # 866
Romania,Austria,Romania,31 runs,Ilfov County,2019-08-29,T20I # 867
Luxembourg,Turkey,Luxembourg,8 wickets,Ilfov County,2019-08-29,T20I # 868
Romania,Turkey,Romania,173 runs,Ilfov County,2019-08-29,T20I # 869
Austria,Czech Rep.,Austria,8 wickets,Ilfov County,2019-08-30,T20I # 870
Romania,Luxembourg,Romania,7 wickets,Ilfov County,2019-08-30,T20I # 871
Czech Rep.,Turkey,Czech Rep.,257 runs,Ilfov County,2019-08-30,T20I # 872
Austria,Luxembourg,Austria,135 runs,Ilfov County,2019-08-31,T20I # 873
Romania,Czech Rep.,Czech Rep.,6 wickets,Ilfov County,2019-08-31,T20I # 874
Austria,Turkey,Austria,10 wickets,Ilfov County,2019-08-31,T20I # 875
Czech Rep.,Luxembourg,Czech Rep.,6 wickets,Ilfov County,2019-09-01,T20I # 876
Austria,Czech Rep.,Austria,30 runs,Ilfov County,2019-09-01,T20I # 877
Sri Lanka,New Zealand,New Zealand,5 wickets,Pallekele,2019-09-01,T20I # 878
Sri Lanka,New Zealand,New Zealand,4 wickets,Pallekele,2019-09-03,T20I # 879
Sri Lanka,New Zealand,Sri Lanka,37 runs,Pallekele,2019-09-06,T20I # 880
Bangladesh,Zimbabwe,Bangladesh,3 wickets,Mirpur,2019-09-13,T20I # 881
Afghanistan,Zimbabwe,Afghanistan,28 runs,Mirpur,2019-09-14,T20I # 882
Bangladesh,Afghanistan,Afghanistan,25 runs,Mirpur,2019-09-15,T20I # 883
Netherlands,Scotland,Scotland,58 runs,Dublin (Malahide),2019-09-16,T20I # 884
Ireland,Scotland,Ireland,4 wickets,Dublin (Malahide),2019-09-17,T20I # 885
Bangladesh,Zimbabwe,Bangladesh,39 runs,Chattogram,2019-09-18,T20I # 886
Ireland,Netherlands,Netherlands,6 wickets,Dublin (Malahide),2019-09-18,T20I # 887
India,South Africa,India,7 wickets,Mohali,2019-09-18,T20I # 888
Netherlands,Scotland,Scotland,6 wickets,Dublin (Malahide),2019-09-19,T20I # 889
Afghanistan,Zimbabwe,Zimbabwe,7 wickets,Chattogram,2019-09-20,T20I # 890
Ireland,Scotland,Ireland,1 run,Dublin (Malahide),2019-09-20,T20I # 891
Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram,2019-09-21,T20I # 892
India,South Africa,South Africa,9 wickets,Bengaluru,2019-09-22,T20I # 893
Nepal,Zimbabwe,Zimbabwe,5 wickets,Singapore,2019-09-27,T20I # 894
Singapore,Nepal,Nepal,9 wickets,Singapore,2019-09-28,T20I # 895
Malaysia,Vanuatu,Vanuatu,17 runs,Kuala Lumpur,2019-09-29,T20I # 896
Singapore,Zimbabwe,Singapore,4 runs,Singapore,2019-09-29,T20I # 897
Malaysia,Vanuatu,Vanuatu,51 runs,Kuala Lumpur,2019-10-01,T20I # 898
Nepal,Zimbabwe,Zimbabwe,40 runs,Singapore,2019-10-01,T20I # 899
Malaysia,Vanuatu,Malaysia,26 runs,Kuala Lumpur,2019-10-02,T20I # 900
Malaysia,Vanuatu,Vanuatu,6 wickets,Kuala Lumpur,2019-10-03,T20I # 901
Singapore,Zimbabwe,Zimbabwe,8 wickets,Singapore,2019-10-03,T20I # 902
Argentina,Mexico,Argentina,9 wickets,Cortijo Polo Club Pitch A,2019-10-03,T20I # 903
Brazil,Chile,Brazil,35 runs,Cortijo Polo Club Pitch B,2019-10-03,T20I # 904
Peru,Brazil,Peru,2 runs,Cortijo Polo Club Pitch A,2019-10-03,T20I # 905
Malaysia,Vanuatu,Malaysia,22 runs,Kuala Lumpur,2019-10-04,T20I # 906
Chile,Mexico,Chile,4 wickets,Cortijo Polo Club Pitch A,2019-10-04,T20I # 907
Peru,Argentina,Argentina,7 wickets,Cortijo Polo Club Pitch B,2019-10-04,T20I # 908
Argentina,Brazil,Argentina,29 runs,Cortijo Polo Club Pitch A,2019-10-04,T20I # 909
Oman,Hong Kong,Oman,7 wickets,Al Amerat,2019-10-05,T20I # 910
Ireland,Netherlands,Ireland,6 wickets,Al Amerat,2019-10-05,T20I # 911
Argentina,Chile,Argentina,28 runs,Cortijo Polo Club Pitch A,2019-10-05,T20I # 912
Peru,Mexico,Mexico,39 runs,Cortijo Polo Club Pitch B,2019-10-05,T20I # 913
Pakistan,Sri Lanka,Sri Lanka,64 runs,Lahore,2019-10-05,T20I # 914
Peru,Chile,Peru,60 runs,Cortijo Polo Club Pitch A,2019-10-05,T20I # 915
Brazil,Mexico,Mexico,20 runs,Cortijo Polo Club Pitch B,2019-10-05,T20I # 916
Oman,Ireland,Oman,43 runs,Al Amerat,2019-10-06,T20I # 917
Hong Kong,Nepal,Nepal,4 wickets,Al Amerat,2019-10-06,T20I # 918
Argentina,Mexico,Argentina,4 wickets,Lima Cricket and Football,2019-10-06,T20I # 919
Nepal,Netherlands,Nepal,4 wickets,Al Amerat,2019-10-07,T20I # 920
Hong Kong,Ireland,Ireland,66 runs,Al Amerat,2019-10-07,T20I # 921
Pakistan,Sri Lanka,Sri Lanka,35 runs,Lahore,2019-10-07,T20I # 922
Ireland,Nepal,Ireland,13 runs,Al Amerat,2019-10-09,T20I # 923
Oman,Netherlands,Oman,7 wickets,Al Amerat,2019-10-09,T20I # 924
Pakistan,Sri Lanka,Sri Lanka,13 runs,Lahore,2019-10-09,T20I # 925
Qatar,Jersey,Qatar,20 runs,Doha,2019-10-09,T20I # 926
Hong Kong,Netherlands,Netherlands,37 runs,Al Amerat,2019-10-10,T20I # 927
Oman,Nepal,Oman,6 wickets,Al Amerat,2019-10-10,T20I # 928
Qatar,Jersey,Qatar,6 wickets,Doha,2019-10-10,T20I # 929
Qatar,Jersey,Qatar,8 wickets,Doha,2019-10-11,T20I # 930
Bulgaria,Serbia,Bulgaria,6 wickets,Corfu,2019-10-14,T20I # 931
Greece,Serbia,Greece,10 wickets,Corfu,2019-10-15,T20I # 932
Greece,Bulgaria,Greece,9 wickets,Corfu,2019-10-16,T20I # 933
Malta,Czech Rep.,Czech Rep.,12 runs,Marsa,2019-10-18,T20I # 934
Scotland,Singapore,Singapore,2 runs,ICCA Dubai,2019-10-18,T20I # 935
Hong Kong,Ireland,Ireland,8 wickets,Abu Dhabi,2019-10-18,T20I # 936
Kenya,Netherlands,Netherlands,30 runs,ICCA Dubai,2019-10-18,T20I # 937
Greece,Bulgaria,Bulgaria,18 runs,Corfu,2019-10-18,T20I # 938
U.A.E.,Oman,Oman,7 wickets,Abu Dhabi,2019-10-18,T20I # 939
Bermuda,P.N.G.,P.N.G.,10 wickets,ICCA Dubai,2019-10-19,T20I # 940
Jersey,Nigeria,Jersey,69 runs,Abu Dhabi,2019-10-19,T20I # 941
Namibia,Netherlands,Netherlands,44 runs,ICCA Dubai,2019-10-19,T20I # 942
Kenya,Scotland,Scotland,31 runs,ICCA 2 Dubai,2019-10-19,T20I # 943
U.A.E.,Ireland,U.A.E.,5 wickets,Abu Dhabi,2019-10-19,T20I # 944
Malta,Czech Rep.,Czech Rep.,82 runs,Marsa,2019-10-20,T20I # 945
Namibia,P.N.G.,P.N.G.,81 runs,ICCA 2 Dubai,2019-10-20,T20I # 946
Canada,Jersey,Canada,53 runs,Tolerance Oval,2019-10-20,T20I # 947
Bermuda,Singapore,Singapore,5 wickets,ICCA 2 Dubai,2019-10-20,T20I # 948
Hong Kong,Oman,Oman,7 wickets,Abu Dhabi,2019-10-20,T20I # 949
P.N.G.,Scotland,Scotland,4 runs,ICCA Dubai,2019-10-21,T20I # 950
U.A.E.,Hong Kong,U.A.E.,8 wickets,Abu Dhabi,2019-10-21,T20I # 951
Ireland,Oman,Ireland,35 runs,Tolerance Oval,2019-10-21,T20I # 952
Bermuda,Kenya,Kenya,45 runs,ICCA Dubai,2019-10-21,T20I # 953
Canada,Nigeria,Canada,50 runs,Abu Dhabi,2019-10-21,T20I # 954
Namibia,Scotland,Namibia,24 runs,ICCA Dubai,2019-10-22,T20I # 955
Netherlands,Singapore,Netherlands,5 wickets,ICCA Dubai,2019-10-22,T20I # 956
U.A.E.,Jersey,Jersey,35 runs,Tolerance Oval,2019-10-22,T20I # 957
Bermuda,Namibia,Namibia,6 wickets,ICCA 2 Dubai,2019-10-23,T20I # 958
Nigeria,Oman,Oman,7 wickets,Tolerance Oval,2019-10-23,T20I # 959
Kenya,Singapore,Kenya,7 wickets,ICCA 2 Dubai,2019-10-23,T20I # 960
Canada,Ireland,Canada,10 runs,Abu Dhabi,2019-10-23,T20I # 961
Hong Kong,Jersey,Hong Kong,8 runs,Abu Dhabi,2019-10-23,T20I # 962
Netherlands,P.N.G.,P.N.G.,5 wickets,ICCA Dubai,2019-10-24,T20I # 963
U.A.E.,Nigeria,U.A.E.,5 wickets,Tolerance Oval,2019-10-24,T20I # 964
Canada,Hong Kong,Hong Kong,32 runs,Tolerance Oval,2019-10-24,T20I # 965
Bermuda,Scotland,Scotland,46 runs,Dubai (DSC),2019-10-24,T20I # 966
P.N.G.,Singapore,P.N.G.,43 runs,Dubai (DSC),2019-10-25,T20I # 967
Ireland,Jersey,Ireland,8 wickets,Tolerance Oval,2019-10-25,T20I # 968
Kenya,Namibia,Namibia,87 runs,Dubai (DSC),2019-10-25,T20I # 969
Spain,Portugal,Spain,8 wickets,Cartagena,2019-10-25,T20I # 970
Canada,Oman,Oman,8 wickets,Abu Dhabi,2019-10-25,T20I # 971
Ireland,Nigeria,Ireland,8 wickets,Abu Dhabi,2019-10-26,T20I # 972
Gibraltar,Portugal,Portugal,6 wickets,Cartagena,2019-10-26,T20I # 973
Bermuda,Netherlands,Netherlands,92 runs,Dubai (DSC),2019-10-26,T20I # 974
Spain,Gibraltar,Spain,8 wickets,Cartagena,2019-10-26,T20I # 975
Spain,Portugal,Spain,29 runs,Cartagena,2019-10-26,T20I # 976
Namibia,Singapore,Namibia,87 runs,Dubai (DSC),2019-10-26,T20I # 977
Australia,Sri Lanka,Australia,134 runs,Adelaide,2019-10-27,T20I # 978
Kenya,P.N.G.,P.N.G.,45 runs,Dubai (DSC),2019-10-27,T20I # 979
Hong Kong,Nigeria,Hong Kong,5 wickets,Tolerance Oval,2019-10-27,T20I # 980
Gibraltar,Portugal,Portugal,4 wickets,Cartagena,2019-10-27,T20I # 981
Jersey,Oman,Jersey,14 runs,Abu Dhabi,2019-10-27,T20I # 982
Netherlands,Scotland,Netherlands,4 wickets,Dubai (DSC),2019-10-27,T20I # 983
Spain,Gibraltar,Spain,6 wickets,Cartagena,2019-10-27,T20I # 984
U.A.E.,Canada,U.A.E.,14 runs,Abu Dhabi,2019-10-27,T20I # 985
U.A.E.,Netherlands,Netherlands,8 wickets,Dubai (DSC),2019-10-29,T20I # 986
Namibia,Oman,Namibia,54 runs,Dubai (DSC),2019-10-29,T20I # 987
Australia,Sri Lanka,Australia,9 wickets,Brisbane,2019-10-30,T20I # 988
U.A.E.,Scotland,Scotland,90 runs,Dubai (DSC),2019-10-30,T20I # 989
Hong Kong,Oman,Oman,12 runs,Dubai (DSC),2019-10-30,T20I # 990
Oman,Scotland,Scotland,5 wickets,ICCA Dubai,2019-10-31,T20I # 991
New Zealand,England,England,7 wickets,Christchurch,2019-11-01,T20I # 992
Australia,Sri Lanka,Australia,7 wickets,Melbourne,2019-11-01,T20I # 993
Ireland,Netherlands,Netherlands,21 runs,Dubai (DSC),2019-11-01,T20I # 994
Namibia,P.N.G.,P.N.G.,18 runs,Dubai (DSC),2019-11-01,T20I # 995
