web-scraper-order,web-scraper-start-url,espn2,espn2-href,espn3,espn3-href,BATSMEN,Runs,Balls,Minutes,Fours,Sixes,StrikeRate
"1603230494-1995","https://stats.espncricinfo.com/ci/content/records/307847.html","2019","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2019;type=year","Test # 2375","https://stats.espncricinfo.com/ci/engine/match/1206636.html","Azhar Ali (c)","0","2","3","0","0","0.00"
"1603231630-8586","https://stats.espncricinfo.com/ci/content/records/307847.html","2013","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2013;type=year","Test # 2074","https://stats.espncricinfo.com/ci/engine/match/598812.html","","null","null","null","null","null","null"
"1603230859-4383","https://stats.espncricinfo.com/ci/content/records/307847.html","2017","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2017;type=year","Test # 2266","https://stats.espncricinfo.com/ci/engine/match/1031441.html","DJ Malan","1","17","29","0","0","5.88"
"1603230666-3330","https://stats.espncricinfo.com/ci/content/records/307847.html","2018","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2018;type=year","Test # 2314","https://stats.espncricinfo.com/ci/engine/match/1119549.html","AN Cook","13","28","38","2","0","46.42"
"1603230571-2655","https://stats.espncricinfo.com/ci/content/records/307847.html","2019","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2019;type=year","Test # 2345","https://stats.espncricinfo.com/ci/engine/match/1145001.html","M Labuschagne","6","11","17","1","0","54.54"
"1603230551-2478","https://stats.espncricinfo.com/ci/content/records/307847.html","2019","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2019;type=year","Test # 2353","https://stats.espncricinfo.com/ci/engine/match/1152846.html","","null","null","null","null","null","null"
"1603231071-5577","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2212","https://stats.espncricinfo.com/ci/engine/match/913645.html","JM Anderson","5","9","21","1","0","55.55"
"1603231754-9246","https://stats.espncricinfo.com/ci/content/records/307847.html","2012","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2012;type=year","Test # 2044","https://stats.espncricinfo.com/ci/engine/match/534206.html","Extras","28","","null","null","null","null"
"1603230480-1908","https://stats.espncricinfo.com/ci/content/records/307847.html","2020","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2020;type=year","Test # 2379","https://stats.espncricinfo.com/ci/engine/match/1185305.html","","null","null","null","null","null","null"
"1603231402-7334","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2130","https://stats.espncricinfo.com/ci/engine/match/667713.html","","null","null","null","null","null","null"
